time;gFx;gFy;gFz;TgF
08:32:38:8870;-0,1218;0,3320;0,8753;0,947
08:32:38:8920;-0,1228;0,3306;0,8860;0,956
08:32:38:8980;-0,1264;0,3361;0,8904;0,963
08:32:38:9030;-0,1306;0,3485;0,8919;0,970
08:32:38:9100;-0,1346;0,3582;0,8901;0,972
08:32:38:9150;-0,1373;0,3592;0,8826;0,966
08:32:38:9290;-0,1405;0,3533;0,8867;0,968
08:32:38:9350;-0,1339;0,3424;0,8888;0,965
08:32:38:9380;-0,1241;0,3258;0,8699;0,940
08:32:38:9420;-0,1040;0,3055;0,8476;0,909
08:32:38:9450;-0,0837;0,2839;0,8218;0,876
08:32:38:9490;-0,0726;0,2711;0,8061;0,855
08:32:38:9510;-0,0693;0,2667;0,7948;0,843
08:32:38:9540;-0,0747;0,2706;0,8086;0,858
08:32:38:9620;-0,0839;0,2737;0,8342;0,884
08:32:38:9660;-0,0898;0,2879;0,8640;0,917
08:32:38:9680;-0,1055;0,2919;0,8850;0,940
08:32:38:9730;-0,1225;0,3004;0,8956;0,955
08:32:38:9800;-0,1221;0,3038;0,8913;0,952
08:32:38:9970;-0,1306;0,3010;0,8964;0,957
08:32:39:0000;-0,1317;0,3102;0,9107;0,974
08:32:39:0030;-0,1348;0,3100;0,9224;0,985
08:32:39:0060;-0,1425;0,3060;0,9450;1,006
08:32:39:0090;-0,1392;0,3187;0,9633;1,027
08:32:39:0110;-0,1424;0,3272;0,9656;1,032
08:32:39:0140;-0,1446;0,3394;0,9599;1,031
08:32:39:0270;-0,1505;0,3461;0,9502;1,026
08:32:39:0310;-0,1543;0,3496;0,9351;1,014
08:32:39:0330;-0,1463;0,3486;0,9142;0,993
08:32:39:0350;-0,1436;0,3513;0,8987;0,979
08:32:39:0380;-0,1464;0,3477;0,8736;0,955
08:32:39:0430;-0,1551;0,3446;0,8655;0,948
08:32:39:0490;-0,1463;0,3452;0,8543;0,937
08:32:39:0540;-0,1365;0,3459;0,8467;0,928
08:32:39:0580;-0,1180;0,3391;0,8408;0,917
08:32:39:0830;-0,1116;0,3222;0,8369;0,907
08:32:39:0860;-0,1151;0,3049;0,8432;0,907
08:32:39:0890;-0,1115;0,2953;0,8533;0,912
08:32:39:0920;-0,1021;0,2922;0,8699;0,926
08:32:39:0970;-0,1041;0,2925;0,8757;0,931
08:32:39:1000;-0,1146;0,2917;0,8737;0,931
08:32:39:1030;-0,1295;0,2847;0,8587;0,917
08:32:39:1070;-0,1296;0,2871;0,8534;0,913
08:32:39:1120;-0,1289;0,2891;0,8563;0,916
08:32:39:1170;-0,1278;0,2855;0,8591;0,917
08:32:39:1210;-0,1303;0,2819;0,8606;0,918
08:32:39:1250;-0,1249;0,2804;0,8665;0,922
08:32:39:1290;-0,1345;0,2795;0,8435;0,902
08:32:39:1330;-0,1389;0,2854;0,8387;0,900
08:32:39:1370;-0,1482;0,2829;0,8627;0,923
08:32:39:1400;-0,1482;0,2880;0,9041;0,963
08:32:39:1480;-0,1430;0,2892;0,9147;0,973
08:32:39:1510;-0,1387;0,2904;0,9183;0,976
08:32:39:1550;-0,1480;0,2924;0,9359;0,995
08:32:39:1590;-0,1455;0,2961;0,9196;0,980
08:32:39:1660;-0,1321;0,3047;0,9025;0,964
08:32:39:1700;-0,1306;0,3063;0,8728;0,937
08:32:39:1760;-0,1219;0,3037;0,8565;0,920
08:32:39:1800;-0,1131;0,3030;0,8398;0,903
08:32:39:2000;-0,0964;0,3002;0,8260;0,887
08:32:39:2040;-0,0829;0,2937;0,8108;0,869
08:32:39:2080;-0,0741;0,2856;0,8027;0,857
08:32:39:2110;-0,0607;0,2861;0,8040;0,857
08:32:39:2150;-0,0679;0,2821;0,8058;0,858
08:32:39:2190;-0,0693;0,2785;0,8039;0,855
08:32:39:2230;-0,0641;0,2785;0,8115;0,862
08:32:39:2260;-0,0504;0,2828;0,8123;0,863
08:32:39:2300;-0,0440;0,2919;0,8091;0,863
08:32:39:2330;-0,0543;0,2983;0,8021;0,859
08:32:39:2360;-0,0595;0,3063;0,7866;0,848
08:32:39:2410;-0,0680;0,3077;0,7773;0,841
08:32:39:2460;-0,0768;0,3174;0,7857;0,853
08:32:39:2550;-0,0915;0,3254;0,7972;0,869
08:32:39:2590;-0,1065;0,3385;0,8091;0,887
08:32:39:2680;-0,1174;0,3444;0,8279;0,908
08:32:39:2700;-0,1253;0,3487;0,8385;0,920
08:32:39:2730;-0,1159;0,3430;0,8464;0,924
08:32:39:2750;-0,1102;0,3250;0,8424;0,912
08:32:39:2950;-0,1020;0,3061;0,8353;0,898
08:32:39:2980;-0,0985;0,2977;0,8293;0,889
08:32:39:3010;-0,0994;0,2921;0,8210;0,880
08:32:39:3040;-0,1049;0,2941;0,8063;0,867
08:32:39:3070;-0,0765;0,3028;0,7639;0,828
08:32:39:3100;-0,0483;0,3016;0,7276;0,791
08:32:39:3120;-0,0304;0,2910;0,7087;0,768
08:32:39:3150;-0,0216;0,2854;0,7109;0,767
08:32:39:3230;-0,0142;0,2911;0,7253;0,783
08:32:39:3270;-0,0071;0,2866;0,7318;0,787
08:32:39:3310;0,0108;0,2613;0,7275;0,773
08:32:39:3370;0,0367;0,2442;0,7085;0,750
08:32:39:3410;0,0614;0,2273;0,6849;0,723
08:32:39:3450;0,0798;0,2137;0,6735;0,709
08:32:39:3670;0,0960;0,2289;0,6889;0,730
08:32:39:3740;0,0972;0,2474;0,7315;0,776
08:32:39:3760;0,0599;0,2668;0,7799;0,825
08:32:39:3790;0,0238;0,2870;0,8102;0,860
08:32:39:3880;-0,0086;0,3036;0,8753;0,927
08:32:39:3900;-0,0096;0,3175;0,9110;0,965
08:32:39:3920;0,0287;0,3296;0,9205;0,978
08:32:39:3950;0,1068;0,3270;0,9437;1,002
08:32:39:3970;0,1545;0,3132;0,9887;1,046
08:32:39:3990;0,1502;0,2905;1,0191;1,067
08:32:39:4010;0,1449;0,2763;1,0173;1,061
08:32:39:4060;0,1351;0,2831;1,0103;1,055
08:32:39:4100;0,1397;0,3041;0,9783;1,031
08:32:39:4190;0,2028;0,3502;0,9108;0,993
08:32:39:4240;0,2882;0,4120;0,8538;0,986
08:32:39:4270;0,3489;0,4697;0,8075;0,992
08:32:39:4310;0,3904;0,4972;0,7496;0,974
08:32:39:4380;0,4084;0,4912;0,7153;0,952
08:32:39:4430;0,4161;0,4588;0,6924;0,922
08:32:39:4460;0,4240;0,4218;0,6830;0,900
08:32:39:4510;0,4200;0,3967;0,6559;0,866
08:32:39:4720;0,4032;0,3868;0,6272;0,832
08:32:39:4760;0,3650;0,3779;0,6263;0,810
08:32:39:4780;0,3285;0,3730;0,5970;0,770
08:32:39:4820;0,3042;0,3855;0,5771;0,752
08:32:39:4850;0,2918;0,3766;0,5948;0,756
08:32:39:4880;0,2924;0,3648;0,6229;0,773
08:32:39:4910;0,3075;0,3549;0,6735;0,815
08:32:39:4940;0,3298;0,3615;0,7278;0,871
08:32:39:4970;0,3450;0,3776;0,7777;0,924
08:32:39:5030;0,3499;0,3866;0,8070;0,954
08:32:39:5070;0,3433;0,3777;0,8254;0,964
08:32:39:5100;0,3142;0,3479;0,7942;0,916
08:32:39:5190;0,2791;0,2986;0,7025;0,807
08:32:39:5230;0,2442;0,2409;0,6141;0,697
08:32:39:5260;0,2226;0,2059;0,5565;0,627
08:32:39:5310;0,2381;0,2054;0,5284;0,608
08:32:39:5360;0,2750;0,2424;0,5317;0,638
08:32:39:5410;0,3296;0,3002;0,5517;0,701
08:32:39:5460;0,3886;0,3648;0,5766;0,777
08:32:39:5650;0,4350;0,4149;0,5924;0,836
08:32:39:5700;0,4612;0,4450;0,5981;0,868
08:32:39:5730;0,4569;0,4494;0,5913;0,864
08:32:39:5770;0,4187;0,4160;0,5731;0,815
08:32:39:5800;0,3389;0,3427;0,5726;0,741
08:32:39:5830;0,2554;0,2727;0,5877;0,690
08:32:39:5850;0,2080;0,2395;0,6338;0,703
08:32:39:5890;0,1955;0,2323;0,7062;0,764
08:32:39:5910;0,2086;0,2274;0,7671;0,822
08:32:39:5960;0,2235;0,2106;0,8058;0,857
08:32:39:6060;0,2175;0,1737;0,8134;0,854
08:32:39:6090;0,2132;0,1588;0,8066;0,843
08:32:39:6120;0,1981;0,1590;0,7947;0,829
08:32:39:6190;0,1416;0,1621;0,7658;0,791
08:32:39:6230;0,1216;0,1808;0,7318;0,760
08:32:39:6260;0,2063;0,2045;0,7131;0,764
08:32:39:6310;0,3155;0,2200;0,7035;0,794
08:32:39:6380;0,3552;0,2106;0,6636;0,772
08:32:39:6410;0,3499;0,1957;0,5816;0,697
08:32:39:6500;0,3525;0,1876;0,4848;0,617
08:32:39:6520;0,3698;0,1874;0,4239;0,581
08:32:39:6690;0,3889;0,1870;0,4212;0,591
08:32:39:6730;0,4212;0,1756;0,4349;0,617
08:32:39:6760;0,4551;0,1565;0,4594;0,652
08:32:39:6800;0,4928;0,1484;0,4928;0,699
08:32:39:6830;0,5284;0,1491;0,5335;0,752
08:32:39:6860;0,5436;0,1530;0,5700;0,789
08:32:39:6890;0,5458;0,1484;0,5952;0,807
08:32:39:6940;0,5420;0,1265;0,6155;0,816
08:32:39:6970;0,5319;0,0802;0,6157;0,804
08:32:39:7030;0,5042;0,0357;0,5939;0,766
08:32:39:7070;0,4945;0,0062;0,5552;0,729
08:32:39:7120;0,5166;0,0026;0,5110;0,711
08:32:39:7170;0,5474;0,0251;0,4810;0,713
08:32:39:7220;0,5869;0,0506;0,4562;0,728
08:32:39:7270;0,6407;0,0737;0,4360;0,761
08:32:39:7320;0,7125;0,0842;0,4455;0,827
08:32:39:7400;0,7860;0,1008;0,4847;0,912
08:32:39:7440;0,8223;0,1244;0,5398;0,975
08:32:39:7470;0,8239;0,1401;0,5806;1,001
08:32:39:7680;0,8198;0,1342;0,5968;1,006
08:32:39:7740;0,8222;0,1111;0,6072;1,012
08:32:39:7760;0,8127;0,0888;0,6133;1,005
08:32:39:7790;0,7952;0,0636;0,6112;0,988
08:32:39:7810;0,7758;0,0331;0,5877;0,957
08:32:39:7840;0,7498;0,0038;0,5511;0,913
08:32:39:7860;0,7258;-0,0240;0,5015;0,865
08:32:39:7890;0,7066;-0,0638;0,4424;0,817
08:32:39:8040;0,6907;-0,0869;0,3812;0,774
08:32:39:8080;0,6674;-0,1126;0,3349;0,735
08:32:39:8110;0,6497;-0,1426;0,2880;0,705
08:32:39:8150;0,6457;-0,1697;0,2558;0,694
08:32:39:8190;0,6607;-0,1814;0,2333;0,703
08:32:39:8220;0,6815;-0,1798;0,2092;0,714
08:32:39:8240;0,7027;-0,1738;0,1881;0,727
08:32:39:8300;0,7247;-0,1539;0,1771;0,741
08:32:39:8340;0,7473;-0,1288;0,1934;0,762
08:32:39:8380;0,7790;-0,0994;0,2288;0,797
08:32:39:8450;0,8160;-0,0678;0,2816;0,846
08:32:39:8510;0,8465;-0,0483;0,3479;0,897
08:32:39:8550;0,8657;-0,0405;0,4069;0,938
08:32:39:8590;0,8682;-0,0556;0,4437;0,957
08:32:39:8630;0,8564;-0,0901;0,4599;0,957
08:32:39:8700;0,8311;-0,1290;0,4524;0,936
08:32:39:8740;0,7945;-0,1946;0,4189;0,899
08:32:39:9190;0,7620;-0,2494;0,3614;0,859
08:32:39:9230;0,7404;-0,2872;0,3061;0,831
08:32:39:9280;0,7172;-0,3170;0,2512;0,803
08:32:39:9310;0,6983;-0,3353;0,1899;0,777
08:32:39:9420;0,6889;-0,3408;0,1385;0,760
08:32:39:9560;0,6990;-0,3391;0,0960;0,762
08:32:39:9610;0,7260;-0,3264;0,0678;0,778
08:32:39:9640;0,7566;-0,3019;0,0501;0,795
08:32:39:9680;0,7894;-0,2763;0,0343;0,816
08:32:39:9720;0,8295;-0,2499;0,0133;0,845
08:32:39:9750;0,8746;-0,2264;0,0212;0,882
08:32:39:9790;0,9290;-0,2088;0,0297;0,932
08:32:39:9820;0,9836;-0,1824;0,0340;0,980
08:32:39:9860;1,0134;-0,1508;0,0299;1,004
