;ay;ax;az
0;-0.12449849;0.40222588;9.203311
1;0.30645782;0.22026655;10.007763
2;0.2873042;0.009576807;11.003751
3;0.009576807;-0.019153614;10.802638
4;0.18195933;0.39264908;9.270349
5;0.7182605;0.24899697;8.475474
6;0.047884032;0.41180268;9.720459
7;0.05746084;-0.06703765;9.988609
8;0.038307227;0.16280572;10.065224
9;0.1340753;0.047884032;10.43872
10;0.25857377;0.1436521;10.093954
11;0.08619126;0.21068975;9.816227
12;0.1340753;0.19153613;9.835381
13;0.19153613;0.1436521;10.28549
14;0.16280572;0.08619126;10.630256
15;0.17238252;0.11492168;10.534488
16;0.2681506;0.15322891;10.113108
17;0.20111294;0.25857377;9.576807
18;0.05746084;0.22984336;9.346964
19;0.30645782;0.16280572;9.883265
20;0.2873042;0.038307227;10.572795
21;0.095768064;0.08619126;10.25676
22;0.31603462;0.24899697;9.14585
23;0.06703765;0.37349546;8.90643
24;-0.047884032;0.22026655;9.701305
25;0.34476504;-0.02873042;11.013328
26;0.33518824;0.0;11.501745
27;0.25857377;0.16280572;9.021352
28;-0.038307227;0.48841715;9.021352
29;0.076614454;0.10534488;10.247183
30;0.23942018;0.24899697;9.825804
31;0.25857377;0.30645782;9.5385
32;0.047884032;0.2777274;9.662998
33;0.29688102;0.22984336;10.151415
34;0.34476504;0.076614454;10.390836
35;0.11492168;0.30645782;9.998186
36;0.33518824;0.21068975;9.404425
37;-0.10534488;0.37349546;9.299079
38;0.25857377;0.1436521;10.323798
39;0.1340753;0.009576807;10.5440645
40;0.23942018;0.1340753;9.959879
41;0.47884035;0.22984336;9.595961
42;0.0;0.22026655;9.615114
43;0.076614454;0.32561144;9.739613
44;0.6799533;-0.11492168;10.620679
45;-0.49799395;0.5650316;10.007763
46;0.842759;-0.18195933;9.414001
47;0.19153613;0.4309563;9.56723
48;-0.7469909;0.8331822;9.883265
49;0.90979666;-0.4213795;10.409989
50;0.23942018;0.18195933;9.797073
51;0.05746084;0.20111294;9.921572
52;0.2777274;0.18195933;9.931149
53;0.08619126;0.19153613;9.940725
54;0.08619126;0.17238252;9.883265
55;0.31603462;0.22984336;9.816227
56;0.1436521;0.21068975;9.691729
57;0.17238252;0.22984336;9.873688
58;0.23942018;0.22984336;9.988609
59;0.095768064;0.16280572;9.911995
60;0.17238252;0.15322891;9.80665
61;0.17238252;0.18195933;9.77792
62;0.16280572;0.21068975;9.873688
63;0.18195933;0.22026655;9.998186
64;0.12449849;0.16280572;9.940725
65;0.22026655;0.20111294;9.80665
66;0.22984336;0.23942018;9.816227
67;0.11492168;0.17238252;9.825804
68;0.23942018;0.19153613;10.141838
69;0.22984336;0.1436521;9.969456
70;0.16280572;0.2681506;9.749189
71;0.23942018;0.2777274;9.844957
72;0.23942018;0.2681506;9.787497
73;0.24899697;0.22984336;9.739613
74;0.18195933;0.21068975;9.950302
75;0.18195933;0.22984336;9.864111
76;0.19153613;0.20111294;9.911995
77;0.21068975;0.17238252;9.835381
78;0.15322891;0.22026655;9.892841
79;0.22026655;0.21068975;9.835381
80;0.22026655;0.16280572;9.873688
81;0.1340753;0.21068975;9.854534
82;0.2873042;0.20111294;9.854534
83;0.24899697;0.20111294;9.816227
84;0.05746084;0.19153613;9.80665
85;0.19153613;0.15322891;9.892841
86;0.21068975;0.22984336;9.854534
87;0.076614454;0.19153613;9.835381
88;0.22026655;0.18195933;9.844957
89;0.10534488;0.22984336;9.873688
90;0.05746084;0.21068975;9.864111
91;0.24899697;0.17238252;9.854534
92;0.19153613;0.17238252;9.921572
93;0.17238252;0.17238252;9.902418
94;0.2777274;0.21068975;9.854534
95;0.22026655;0.16280572;9.873688
96;0.1436521;0.21068975;9.9790325
97;0.23942018;0.18195933;9.883265
98;0.29688102;0.22984336;9.77792
99;0.22026655;0.22026655;9.902418
100;0.22984336;0.21068975;9.835381
101;0.23942018;0.21068975;9.883265
102;0.1340753;0.17238252;9.911995
103;0.11492168;0.17238252;9.854534
104;0.18195933;0.22984336;9.883265
105;0.095768064;0.15322891;9.892841
106;0.16280572;0.17238252;9.950302
107;0.24899697;0.18195933;9.825804
108;0.22026655;0.24899697;9.835381
109;0.17238252;0.21068975;9.835381
110;0.2873042;0.24899697;9.825804
111;0.20111294;0.11492168;9.902418
112;0.11492168;0.16280572;9.921572
113;0.24899697;0.19153613;9.864111
114;0.22984336;0.22984336;9.787497
115;0.18195933;0.23942018;9.844957
116;0.24899697;0.22984336;9.902418
117;0.16280572;0.16280572;9.950302
118;0.17238252;0.21068975;9.854534
119;0.23942018;0.19153613;9.825804
120;0.15322891;0.19153613;9.816227
121;0.20111294;0.22984336;9.854534
122;0.25857377;0.22026655;9.883265
123;0.20111294;0.20111294;9.950302
124;0.17238252;0.2777274;9.854534
125;0.25857377;0.25857377;9.825804
126;0.24899697;0.33518824;9.825804
127;0.24899697;0.23942018;9.825804
128;0.29688102;0.2777274;9.80665
129;0.20111294;0.21068975;9.854534
130;0.21068975;0.23942018;9.902418
131;0.23942018;0.24899697;9.931149
132;0.1436521;0.19153613;9.902418
133;0.16280572;0.22026655;9.835381
134;0.24899697;0.22984336;9.844957
135;0.18195933;0.2681506;9.80665
136;0.15322891;0.22026655;9.892841
137;0.17238252;0.16280572;9.921572
138;0.095768064;0.18195933;9.825804
139;0.08619126;0.21068975;9.844957
140;0.25857377;0.19153613;9.787497
141;0.10534488;0.1436521;9.864111
142;0.095768064;0.17238252;9.892841
143;0.2873042;0.22026655;9.931149
144;0.15322891;0.15322891;9.921572
145;0.10534488;0.18195933;9.825804
146;0.32561144;0.30645782;9.768343
147;0.23942018;0.19153613;9.902418
148;-0.038307227;0.17238252;10.007763
149;0.4213795;0.18195933;9.931149
150;0.16280572;0.20111294;9.873688
151;-0.19153613;0.40222588;9.701305
152;0.641646;0.047884032;9.634268
153;0.15322891;0.23942018;10.093954
154;-0.17238252;0.20111294;9.969456
155;0.38307226;0.16280572;9.864111
156;0.076614454;0.2873042;9.873688
157;0.095768064;0.15322891;10.0269165
158;0.36391866;0.21068975;9.825804
159;0.22026655;0.2777274;9.691729
160;0.076614454;0.095768064;10.055647
161;0.02873042;0.17238252;9.768343
162;0.35434186;0.19153613;10.01734
163;0.19153613;0.19153613;9.825804
164;0.1436521;0.19153613;9.902418
165;0.20111294;0.17238252;9.864111
166;0.19153613;0.2777274;9.921572
167;0.21068975;0.16280572;9.902418
168;0.19153613;0.21068975;9.864111
169;0.21068975;0.22026655;9.835381
170;0.17238252;0.20111294;9.883265
171;0.16280572;0.22026655;9.892841
172;0.22984336;0.15322891;9.864111
173;0.15322891;0.22026655;9.873688
174;0.18195933;0.19153613;9.911995
175;0.19153613;0.19153613;9.797073
176;0.17238252;0.19153613;9.921572
177;0.20111294;0.1340753;9.80665
178;0.19153613;0.20111294;9.864111
179;0.17238252;0.18195933;9.854534
180;0.21068975;0.16280572;9.835381
181;0.19153613;0.22026655;9.873688
182;0.16280572;0.1436521;9.940725
183;0.17238252;0.17238252;9.787497
184;0.18195933;0.21068975;9.911995
185;0.1436521;0.18195933;9.883265
186;0.1436521;0.23942018;9.921572
187;0.22984336;0.19153613;9.864111
188;0.1340753;0.24899697;9.921572
189;0.1340753;0.22984336;9.892841
190;0.23942018;0.18195933;9.902418
191;0.1436521;0.20111294;9.844957
192;0.15322891;0.15322891;9.911995
193;0.22984336;0.22984336;9.816227
194;0.17238252;0.19153613;9.825804
195;0.18195933;0.16280572;10.036493
196;0.20111294;0.24899697;9.873688
197;0.17238252;0.20111294;9.864111
198;0.1436521;0.22026655;9.921572
199;0.19153613;0.21068975;9.835381
200;0.21068975;0.20111294;9.844957
201;0.18195933;0.20111294;9.902418
202;0.22026655;0.16280572;9.902418
203;0.22984336;0.22026655;9.873688
204;0.19153613;0.16280572;9.902418
205;0.22026655;0.22026655;9.825804
206;0.17238252;0.21068975;9.911995
207;0.20111294;0.19153613;9.864111
208;0.18195933;0.21068975;9.883265
209;0.17238252;0.25857377;9.892841
210;0.18195933;0.18195933;9.825804
211;0.19153613;0.24899697;9.950302
212;0.16280572;0.17238252;9.816227
213;0.18195933;0.20111294;9.864111
214;0.19153613;0.19153613;9.911995
215;0.16280572;0.19153613;9.864111
216;0.22026655;0.24899697;9.864111
217;0.17238252;0.17238252;9.892841
218;0.19153613;0.1340753;9.864111
219;0.18195933;0.23942018;9.825804
220;0.1436521;0.21068975;9.883265
221;0.19153613;0.18195933;9.921572
222;0.21068975;0.19153613;9.854534
223;0.15322891;0.23942018;9.931149
224;0.17238252;0.17238252;9.902418
225;0.20111294;0.21068975;9.835381
226;0.18195933;0.23942018;9.873688
227;0.20111294;0.19153613;9.854534
228;0.17238252;0.23942018;9.873688
229;0.17238252;0.20111294;9.883265
230;0.20111294;0.21068975;9.80665
231;0.1340753;0.1340753;9.892841
232;0.22026655;0.24899697;9.921572
233;0.22026655;0.22984336;9.844957
234;0.18195933;0.24899697;9.911995
235;0.18195933;0.19153613;9.883265
236;0.1436521;0.22026655;9.902418
237;0.16280572;0.19153613;9.816227
238;0.21068975;0.18195933;9.844957
239;0.19153613;0.20111294;9.864111
240;0.15322891;0.19153613;9.892841
241;0.19153613;0.20111294;9.911995
242;0.1436521;0.24899697;9.854534
243;0.1436521;0.15322891;9.921572
244;0.20111294;0.21068975;9.864111
245;0.18195933;0.19153613;9.835381
246;0.17238252;0.25857377;9.816227
247;0.21068975;0.17238252;9.854534
248;0.19153613;0.23942018;9.911995
249;0.22984336;0.22984336;9.950302
250;0.21068975;0.19153613;9.864111
251;0.16280572;0.20111294;9.854534
252;0.22026655;0.22026655;9.854534
253;0.19153613;0.22984336;9.864111
254;0.18195933;0.22026655;9.883265
255;0.24899697;0.25857377;9.816227
256;0.19153613;0.22984336;9.950302
257;0.21068975;0.22026655;9.873688
258;0.21068975;0.22984336;9.911995
259;0.17238252;0.17238252;9.892841
260;0.16280572;0.16280572;9.902418
261;0.22026655;0.20111294;9.873688
262;0.19153613;0.19153613;9.854534
263;0.19153613;0.22026655;9.844957
264;0.16280572;0.23942018;9.883265
265;0.15322891;0.22026655;9.911995
266;0.22026655;0.17238252;9.864111
267;0.17238252;0.19153613;9.873688
268;0.18195933;0.19153613;9.864111
269;0.16280572;0.21068975;9.911995
270;0.20111294;0.18195933;9.825804
271;0.18195933;0.20111294;9.883265
272;0.21068975;0.21068975;9.80665
273;0.16280572;0.15322891;9.864111
274;0.18195933;0.19153613;9.864111
275;0.21068975;0.21068975;9.883265
276;0.18195933;0.21068975;9.892841
277;0.20111294;0.23942018;9.844957
278;0.17238252;0.20111294;9.844957
279;0.17238252;0.18195933;9.911995
280;0.22026655;0.22984336;9.873688
281;0.17238252;0.19153613;9.883265
282;0.18195933;0.17238252;9.940725
283;0.18195933;0.20111294;9.864111
284;0.18195933;0.20111294;9.950302
285;0.24899697;0.19153613;9.854534
286;0.18195933;0.16280572;9.883265
287;0.17238252;0.12449849;9.873688
288;0.18195933;0.12449849;9.873688
289;0.16280572;0.20111294;9.902418
290;0.16280572;0.11492168;9.854534
291;0.20111294;0.16280572;9.892841
292;0.1340753;0.18195933;9.835381
293;0.23942018;0.19153613;9.892841
294;0.22026655;0.18195933;9.787497
295;0.16280572;0.16280572;9.835381
296;0.17238252;0.20111294;9.883265
297;0.20111294;0.1436521;9.854534
298;0.20111294;0.20111294;9.844957
299;0.20111294;0.16280572;9.854534
300;0.15322891;0.095768064;9.854534
301;0.18195933;0.16280572;9.854534
302;0.22026655;0.17238252;9.883265
303;0.22026655;0.18195933;9.835381
304;0.22026655;0.15322891;9.902418
305;0.22026655;0.18195933;9.892841
306;0.20111294;0.23942018;9.873688
307;0.22984336;0.1340753;9.873688
308;0.19153613;0.15322891;9.883265
309;0.20111294;0.1436521;9.873688
310;0.21068975;0.15322891;9.854534
311;0.17238252;0.15322891;9.911995
312;0.17238252;0.08619126;9.864111
313;0.16280572;0.12449849;9.911995
314;0.17238252;0.18195933;9.883265
315;0.16280572;0.06703765;9.921572
316;0.20111294;0.20111294;9.921572
317;0.17238252;0.17238252;9.825804
318;0.16280572;0.15322891;9.883265
319;0.18195933;0.1436521;9.844957
320;0.11492168;0.12449849;9.864111
321;0.16280572;0.1436521;9.892841
322;0.18195933;0.06703765;9.931149
323;0.12449849;0.20111294;9.854534
324;0.22984336;0.095768064;9.931149
325;0.16280572;0.095768064;9.940725
326;0.22026655;0.20111294;9.921572
327;0.20111294;0.15322891;9.864111
328;0.17238252;0.1436521;9.902418
329;0.19153613;0.12449849;9.873688
330;0.20111294;0.10534488;9.825804
331;0.21068975;0.19153613;9.883265
332;0.20111294;0.076614454;9.864111
333;0.22984336;0.15322891;9.835381
334;0.20111294;0.16280572;9.902418
335;0.21068975;0.15322891;9.921572
336;0.20111294;0.12449849;9.911995
337;0.17238252;0.15322891;9.883265
338;0.20111294;0.16280572;9.883265
339;0.22026655;0.08619126;9.883265
340;0.19153613;0.22026655;9.835381
341;0.20111294;0.12449849;9.911995
342;0.18195933;0.1436521;9.892841
343;0.15322891;0.1340753;9.883265
344;0.15322891;0.08619126;9.892841
345;0.15322891;0.12449849;9.835381
346;0.1436521;0.1340753;9.911995
347;0.17238252;0.095768064;9.873688
348;0.12449849;0.1340753;9.902418
349;0.12449849;0.08619126;9.883265
350;0.19153613;0.1436521;9.864111
351;0.1436521;0.1340753;9.883265
352;0.22984336;0.10534488;9.892841
353;0.17238252;0.11492168;9.864111
354;0.1436521;0.1436521;9.950302
355;0.23942018;0.16280572;9.835381
356;0.19153613;0.22026655;9.864111
357;0.23942018;0.1436521;9.844957
358;0.22026655;0.20111294;9.883265
359;0.19153613;0.20111294;9.921572
360;0.24899697;0.20111294;9.835381
361;0.23942018;0.19153613;9.921572
362;0.20111294;0.2681506;9.854534
363;0.23942018;0.20111294;9.873688
364;0.23942018;0.18195933;9.864111
365;0.16280572;0.15322891;9.902418
366;0.21068975;0.19153613;9.902418
367;0.16280572;0.1340753;9.844957
368;0.16280572;0.16280572;9.950302
369;0.19153613;0.18195933;9.892841
370;0.11492168;0.095768064;9.873688
371;0.1436521;0.16280572;9.902418
372;0.17238252;0.11492168;9.892841
373;0.10534488;0.1340753;9.902418
374;0.1340753;0.1436521;9.950302
375;0.1436521;0.1340753;9.835381
376;0.12449849;0.1340753;9.911995
377;0.17238252;0.1340753;9.77792
378;0.1340753;0.22026655;9.835381
379;0.12449849;0.19153613;9.854534
380;0.18195933;0.17238252;9.864111
381;0.20111294;0.22984336;9.883265
382;0.22026655;0.23942018;9.883265
383;0.22026655;0.25857377;9.921572
384;0.20111294;0.22026655;9.854534
385;0.23942018;0.20111294;9.854534
386;0.24899697;0.2873042;9.902418
387;0.24899697;0.2777274;9.883265
388;0.25857377;0.2777274;9.931149
389;0.19153613;0.20111294;9.835381
390;0.23942018;0.2681506;9.844957
391;0.22026655;0.22984336;9.864111
392;0.22984336;0.2873042;9.854534
393;0.19153613;0.21068975;9.825804
394;0.19153613;0.23942018;9.844957
395;0.18195933;0.16280572;9.873688
396;0.16280572;0.24899697;9.883265
397;0.12449849;0.19153613;9.902418
398;0.076614454;0.15322891;9.969456
399;0.15322891;0.22026655;9.883265
400;0.15322891;0.18195933;9.873688
401;0.076614454;0.22984336;9.988609
402;0.05746084;0.11492168;9.931149
403;0.12449849;0.18195933;9.892841
404;0.076614454;0.16280572;9.902418
405;0.05746084;0.18195933;9.873688
406;0.1436521;0.23942018;9.940725
407;0.15322891;0.32561144;9.902418
408;0.1340753;0.32561144;9.921572
409;0.18195933;0.30645782;9.892841
410;0.22984336;0.40222588;9.854534
411;0.2681506;0.48841715;9.873688
412;0.2777274;0.49799395;9.844957
413;0.2777274;0.48841715;9.854534
414;0.30645782;0.51714754;9.854534
