;ay;ax;az
0;0.25857377;0.009576807;9.9790325
1;0.4405331;-0.038307227;10.113108
2;0.18195933;0.0;9.998186
3;0.46926352;0.0;9.634268
4;0.47884035;-0.009576807;9.730036
5;0.19153613;-0.05746084;10.160992
6;0.29688102;-0.009576807;10.28549
7;0.33518824;0.08619126;9.720459
8;0.24899697;0.1436521;9.452309
9;0.38307226;0.038307227;9.873688
10;0.40222588;-0.08619126;9.921572
11;0.33518824;0.019153614;9.854534
12;0.37349546;0.0;9.921572
13;0.2873042;0.06703765;9.835381
14;0.36391866;0.019153614;9.80665
15;0.36391866;0.05746084;9.854534
16;0.2681506;0.047884032;9.902418
17;0.4405331;-0.05746084;10.180145
18;0.23942018;-0.10534488;10.658986
19;0.23942018;0.0;10.0748005
20;0.7374141;-0.11492168;9.797073
21;-0.18195933;0.038307227;10.103531
22;0.59376204;-0.12449849;10.084377
23;1.0151415;-0.2681506;9.940725
24;-0.7278373;0.17238252;11.118672
25;0.095768064;0.02873042;10.342952
26;0.8619126;0.12449849;8.599973
27;0.32561144;0.076614454;9.174581
28;0.33518824;0.05746084;9.835381
29;0.32561144;0.038307227;9.950302
30;0.33518824;0.019153614;9.950302
31;0.39264908;0.019153614;9.911995
32;0.31603462;0.047884032;9.854534
33;0.35434186;0.009576807;9.959879
34;0.37349546;0.009576807;9.854534
35;0.2777274;0.019153614;9.854534
36;0.2777274;0.047884032;9.988609
37;0.30645782;0.02873042;9.816227
38;0.31603462;0.05746084;9.902418
39;0.30645782;0.009576807;9.921572
40;0.2873042;0.009576807;9.940725
41;0.29688102;0.02873042;9.873688
42;0.31603462;0.038307227;9.873688
43;0.33518824;0.06703765;9.883265
44;0.33518824;0.009576807;9.940725
45;0.34476504;0.0;9.873688
46;0.31603462;-0.02873042;9.873688
47;0.33518824;-0.009576807;9.883265
48;0.39264908;0.019153614;9.892841
49;0.33518824;0.009576807;9.969456
50;0.31603462;0.009576807;9.9790325
51;0.39264908;-0.009576807;9.921572
52;0.31603462;0.05746084;9.854534
53;0.35434186;-0.009576807;9.940725
