;ay;ax;az
2;0.10534488;-0.02873042;9.998186
3;0.009576807;-0.038307227;10.055647
4;0.038307227;0.0;9.921572
5;0.1436521;0.06703765;9.576807
6;0.11492168;-0.08619126;9.662998
7;-0.038307227;-0.16280572;10.5440645
8;-0.095768064;-0.02873042;10.055647
9;0.25857377;0.16280572;8.858546
10;0.12449849;0.0;9.615114
11;-0.32561144;-0.21068975;10.67814
12;0.7182605;-0.39264908;10.601525
13;-0.19153613;0.12449849;10.247183
14;-0.78529817;0.25857377;9.232041
15;1.0821792;0.038307227;8.226477
16;-0.02873042;-0.16280572;10.994174
17;0.12449849;-0.5554548;12.220005
18;0.4309563;0.2777274;7.9583263
19;0.11492168;0.0;9.911995
20;0.076614454;-0.009576807;9.902418
21;0.08619126;-0.009576807;9.911995
22;0.05746084;-0.06703765;9.921572
23;0.095768064;-0.019153614;9.864111
24;0.10534488;0.009576807;9.902418
25;0.038307227;-0.05746084;9.854534
26;0.10534488;-0.019153614;9.921572
27;0.047884032;-0.047884032;9.902418
28;0.02873042;-0.038307227;9.854534
29;0.05746084;-0.10534488;9.959879
30;0.019153614;-0.038307227;9.902418
31;0.009576807;-0.038307227;9.931149
32;0.08619126;-0.02873042;9.911995
33;0.05746084;-0.038307227;9.892841
34;0.05746084;0.038307227;9.902418
35;0.08619126;-0.038307227;9.873688
36;0.05746084;-0.019153614;9.892841
37;0.05746084;-0.05746084;9.950302
38;0.076614454;-0.009576807;9.844957
39;0.095768064;-0.02873042;9.864111
40;0.06703765;-0.019153614;9.892841
41;0.1340753;-0.009576807;9.921572
42;0.10534488;-0.019153614;9.940725
43;0.095768064;0.019153614;9.835381
44;0.11492168;-0.038307227;9.931149
45;0.06703765;-0.05746084;9.950302
46;0.095768064;-0.05746084;9.883265
47;0.095768064;0.0;9.9790325
48;0.095768064;-0.038307227;9.911995
49;0.11492168;-0.019153614;9.854534
50;0.02873042;-0.038307227;9.892841
51;0.08619126;-0.047884032;9.892841
52;0.019153614;-0.019153614;9.969456
53;0.047884032;-0.1340753;9.911995
54;0.038307227;-0.02873042;9.911995
55;0.06703765;-0.06703765;9.940725
56;0.076614454;-0.08619126;9.873688
57;0.05746084;-0.06703765;9.969456
58;0.019153614;-0.038307227;9.921572
59;0.06703765;-0.009576807;9.854534
60;0.038307227;-0.02873042;9.80665
61;-0.009576807;0.0;10.036493
62;0.019153614;-0.02873042;9.902418
63;0.095768064;0.047884032;9.77792
64;0.076614454;-0.047884032;9.892841
65;0.009576807;-0.019153614;10.007763
66;0.1340753;-0.047884032;9.931149
67;0.0;-0.009576807;9.844957
68;0.12449849;0.0;9.825804
69;0.038307227;0.0;9.969456
70;0.05746084;-0.009576807;9.9790325
