ax;ay;az
0.31603462;-0.009576807;9.864111
0.2681506;-0.047884032;9.883265
0.35434186;0.0;9.940725
0.22026655;-0.047884032;9.940725
0.29688102;0.019153614;9.701305
0.32561144;-0.019153614;9.682152
0.22026655;-0.076614454;9.739613
0.25857377;0.0;9.720459
0.32561144;-0.047884032;9.816227
0.22026655;-0.05746084;9.835381
0.34476504;-0.05746084;9.959879
0.2873042;0.0;9.969456
0.19153613;-0.17238252;10.132261
0.34476504;-0.15322891;10.658986
-0.019153614;-0.17238252;10.400413
0.45010993;-0.047884032;9.835381
0.34476504;-0.06703765;9.739613
-0.22984336;-0.12449849;10.28549
1.1300632;-0.45968673;10.764331
0.095768064;-0.23942018;10.67814
-0.63206923;0.047884032;10.237606
0.90021986;0.0;8.7053175
0.22984336;-0.047884032;8.944737
0.2681506;-0.06703765;9.940725
0.2873042;-0.019153614;9.835381
0.25857377;0.0;9.873688
0.2681506;-0.06703765;9.883265
0.24899697;-0.10534488;9.940725
0.2681506;-0.06703765;9.9790325
0.24899697;-0.06703765;9.892841
0.2873042;-0.019153614;9.883265
0.25857377;-0.05746084;9.931149
0.2873042;-0.08619126;9.931149
0.25857377;-0.02873042;10.007763
0.2777274;-0.038307227;9.873688
0.2777274;-0.076614454;9.892841
0.24899697;-0.10534488;9.9790325
0.24899697;-0.009576807;9.854534
0.2873042;-0.05746084;9.959879
0.25857377;-0.06703765;9.883265
0.2873042;-0.05746084;9.959879
0.24899697;-0.095768064;9.9790325
0.24899697;-0.06703765;9.940725
0.29688102;0.0;9.940725
0.2777274;-0.095768064;9.950302
0.2873042;0.0;9.9790325
0.2873042;-0.038307227;9.969456
0.25857377;0.0;9.864111
0.24899697;0.0;9.902418
0.2681506;0.0;9.883265
0.2681506;-0.047884032;9.902418
0.2873042;-0.019153614;9.9790325
0.24899697;-0.019153614;9.873688
0.23942018;-0.02873042;9.911995
0.24899697;0.0;9.911995
0.2681506;-0.038307227;9.854534
0.25857377;-0.076614454;9.911995
0.25857377;-0.009576807;9.892841
0.24899697;-0.047884032;9.931149
0.24899697;-0.038307227;9.892841
0.2681506;-0.05746084;9.9790325
0.24899697;0.0;9.902418
0.25857377;-0.05746084;9.854534
0.2873042;-0.009576807;9.969456
0.22984336;-0.019153614;9.998186
0.29688102;-0.02873042;9.921572
0.2873042;-0.038307227;9.883265
0.24899697;-0.019153614;9.911995
0.24899697;-0.05746084;9.959879
0.20111294;-0.02873042;9.892841
0.39264908;-0.05746084;9.873688
0.24899697;-0.10534488;9.921572
0.30645782;0.02873042;9.902418
0.29688102;-0.02873042;9.902418
0.24899697;-0.05746084;9.883265
0.2873042;-0.02873042;9.892841
0.29688102;-0.08619126;9.902418
0.2873042;-0.047884032;9.883265
0.2873042;-0.05746084;9.844957
0.30645782;-0.019153614;9.864111
0.2681506;-0.11492168;9.959879
0.24899697;-0.095768064;9.969456
0.25857377;-0.047884032;9.950302
0.2873042;-0.076614454;9.940725
0.24899697;-0.047884032;9.969456
0.24899697;-0.10534488;9.998186
0.24899697;-0.1340753;10.036493
0.22984336;-0.1436521;9.940725
0.22984336;-0.10534488;9.959879
0.24899697;-0.1340753;9.902418
0.29688102;-0.076614454;9.902418
0.24899697;-0.095768064;9.940725
0.25857377;-0.009576807;9.959879
0.2777274;-0.009576807;9.854534
0.23942018;-0.11492168;9.873688
0.24899697;-0.038307227;9.9790325
0.30645782;-0.076614454;9.959879
0.22026655;-0.05746084;9.921572
0.32561144;-0.06703765;9.959879
0.2777274;0.019153614;9.902418
0.2681506;-0.038307227;9.844957
0.34476504;-0.009576807;9.864111
0.21068975;-0.038307227;9.921572
0.2777274;-0.009576807;10.093954
0.29688102;-0.047884032;9.959879
0.2777274;0.0;9.634268
0.33518824;0.038307227;9.682152
0.20111294;-0.05746084;10.01734
0.17238252;-0.06703765;10.25676
0.38307226;-0.05746084;9.844957
0.16280572;-0.076614454;9.825804
