ax;ay;az
-0.45010993;0.12449849;9.931149
-0.45010993;0.095768064;9.873688
-0.45010993;0.10534488;9.873688
-0.39264908;0.095768064;9.902418
-0.45010993;0.15322891;9.892841
-0.45010993;0.06703765;9.921572
-0.45010993;0.06703765;9.816227
-0.51714754;0.02873042;9.883265
-0.40222588;0.05746084;9.892841
-0.4405331;0.047884032;9.844957
-0.4405331;0.047884032;9.854534
-0.39264908;0.11492168;9.854534
-0.50757074;0.038307227;9.911995
-0.45968673;0.08619126;9.854534
-0.4309563;0.1340753;9.873688
-0.4213795;0.038307227;9.873688
-0.45968673;0.076614454;9.902418
-0.46926352;0.009576807;9.864111
-0.4309563;0.047884032;9.873688
-0.4405331;0.10534488;9.883265
-0.45010993;0.095768064;9.892841
-0.40222588;0.08619126;9.854534
-0.45010993;0.076614454;9.911995
-0.40222588;0.095768064;9.854534
-0.47884035;0.06703765;9.911995
-0.4309563;0.08619126;9.873688
-0.45010993;0.076614454;9.749189
-0.45010993;0.08619126;9.950302
-0.41180268;0.05746084;9.931149
-0.45010993;0.038307227;9.864111
-0.45010993;0.076614454;9.816227
-0.4405331;0.076614454;9.854534
-0.45010993;0.05746084;9.959879
-0.4405331;0.05746084;9.835381
-0.4405331;0.095768064;9.883265
-0.45968673;0.095768064;9.902418
-0.4405331;0.12449849;9.873688
-0.48841715;0.038307227;9.883265
-0.4213795;0.06703765;9.911995
-0.45968673;0.076614454;9.835381
-0.45968673;0.10534488;9.787497
-0.37349546;0.05746084;9.892841
-0.46926352;0.076614454;9.844957
-0.45010993;0.1340753;9.797073
-0.47884035;0.047884032;9.854534
-0.46926352;0.08619126;9.959879
-0.4309563;0.047884032;9.864111
-0.48841715;0.047884032;9.883265
-0.48841715;0.095768064;9.844957
-0.4309563;0.08619126;9.854534
-0.4309563;0.06703765;9.844957
-0.45010993;0.10534488;9.844957
-0.46926352;0.076614454;9.883265
-0.40222588;0.11492168;9.883265
-0.40222588;0.10534488;9.892841
-0.4213795;0.095768064;9.892841
-0.4213795;0.08619126;9.883265
-0.4405331;0.06703765;9.873688
-0.38307226;0.08619126;9.864111
-0.46926352;0.095768064;9.825804
-0.4309563;0.08619126;9.911995
-0.4405331;0.10534488;9.864111
-0.46926352;0.047884032;9.911995
-0.40222588;0.095768064;9.844957
-0.45010993;0.11492168;9.864111
-0.46926352;0.08619126;9.892841
-0.4309563;0.076614454;9.883265
-0.47884035;0.08619126;9.80665
-0.4213795;0.11492168;9.892841
-0.4405331;0.05746084;9.883265
-0.45010993;0.10534488;9.940725
-0.47884035;0.08619126;9.864111
-0.41180268;0.047884032;9.844957
-0.41180268;0.11492168;9.883265
-0.45010993;0.076614454;9.864111
-0.4309563;0.10534488;9.892841
-0.51714754;0.047884032;9.835381
-0.4309563;0.05746084;9.873688
-0.45010993;0.05746084;9.873688
-0.4309563;0.076614454;9.864111
-0.4405331;0.06703765;9.873688
-0.45010993;0.095768064;9.883265
-0.45968673;0.076614454;9.921572
-0.4213795;0.076614454;9.873688
-0.47884035;0.06703765;9.864111
-0.46926352;0.076614454;9.873688
-0.41180268;0.06703765;9.902418
-0.49799395;0.02873042;9.873688
-0.4405331;0.076614454;9.825804
-0.45968673;0.095768064;9.844957
-0.45010993;0.076614454;10.01734
-0.4213795;0.15322891;9.844957
-0.51714754;0.06703765;9.854534
-0.46926352;0.05746084;9.911995
-0.4309563;0.038307227;9.864111
-0.51714754;0.038307227;9.864111
-0.45010993;0.06703765;9.844957
-0.4405331;0.1340753;9.825804
-0.45968673;0.12449849;9.873688
-0.47884035;0.047884032;9.835381
-0.45010993;0.08619126;9.902418
-0.4309563;0.08619126;9.854534
-0.4309563;0.076614454;9.969456
-0.46926352;0.05746084;9.883265
-0.4405331;0.08619126;9.864111
-0.4405331;0.076614454;9.854534
-0.45010993;0.08619126;9.864111
-0.45968673;0.1340753;9.844957
-0.45968673;0.05746084;9.940725
-0.4405331;0.10534488;9.825804
-0.4405331;0.08619126;9.921572
-0.4309563;0.08619126;9.844957
-0.45968673;0.047884032;9.844957
-0.41180268;0.10534488;9.921572
-0.46926352;0.05746084;9.864111
-0.46926352;0.10534488;9.892841
-0.41180268;0.15322891;9.816227
-0.46926352;0.08619126;9.844957
-0.45010993;0.076614454;9.931149
-0.4213795;0.06703765;9.921572
-0.41180268;0.08619126;9.902418
-0.4309563;0.11492168;9.854534
-0.46926352;0.02873042;9.892841
-0.4213795;0.076614454;9.950302
-0.4213795;0.1436521;9.797073
-0.4405331;0.076614454;9.940725
-0.45010993;0.02873042;9.921572
-0.45010993;0.11492168;9.892841
-0.4309563;0.10534488;9.940725
-0.46926352;0.08619126;9.835381
-0.41180268;0.11492168;9.873688
-0.48841715;0.06703765;9.892841
-0.4213795;0.095768064;9.931149
-0.41180268;0.05746084;9.816227
-0.46926352;0.08619126;9.844957
-0.45010993;0.06703765;9.902418
-0.4405331;0.10534488;9.835381
-0.48841715;0.038307227;9.825804
-0.46926352;0.08619126;9.902418
-0.4309563;0.10534488;9.844957
-0.46926352;0.05746084;9.873688
-0.41180268;0.10534488;9.892841
-0.4309563;0.076614454;9.80665
-0.4213795;0.095768064;9.950302
-0.4405331;0.1340753;9.883265
-0.45968673;0.08619126;9.844957
-0.45010993;0.08619126;9.911995
-0.4309563;0.10534488;9.911995
-0.45010993;0.11492168;9.892841
-0.45010993;0.05746084;9.892841
-0.45010993;0.038307227;9.883265
-0.4213795;0.08619126;9.873688
-0.4405331;0.038307227;9.902418
-0.4309563;0.076614454;9.883265
-0.4405331;0.076614454;9.816227
-0.45010993;0.05746084;9.931149
-0.45010993;0.047884032;9.892841
-0.45968673;0.095768064;9.892841
-0.39264908;0.038307227;9.911995
-0.4309563;0.076614454;9.892841
