;ay;ax;az
0;0.48841715;-0.29688102;9.80665
1;0.32561144;-0.2681506;9.9790325
2;0.37349546;-0.2777274;9.873688
3;0.38307226;-0.33518824;9.758766
4;0.40222588;-0.24899697;9.825804
5;0.41180268;-0.23942018;9.9790325
6;0.4405331;-0.2681506;9.816227
7;0.36391866;-0.2873042;9.835381
8;0.40222588;-0.29688102;9.77792
9;0.36391866;-0.31603462;9.911995
10;0.38307226;-0.29688102;9.902418
11;0.41180268;-0.2777274;9.816227
12;0.38307226;-0.25857377;9.825804
13;0.4213795;-0.2873042;9.892841
14;0.4213795;-0.2681506;9.854534
15;0.38307226;-0.23942018;9.883265
16;0.41180268;-0.2777274;9.902418
17;0.40222588;-0.2681506;9.854534
18;0.40222588;-0.32561144;9.883265
19;0.41180268;-0.2681506;9.854534
20;0.40222588;-0.2777274;9.911995
21;0.39264908;-0.29688102;9.873688
22;0.41180268;-0.32561144;9.835381
23;0.4309563;-0.2873042;9.873688
24;0.34476504;-0.30645782;9.892841
25;0.4213795;-0.23942018;9.844957
26;0.40222588;-0.24899697;9.835381
27;0.39264908;-0.32561144;9.864111
28;0.40222588;-0.29688102;9.844957
29;0.33518824;-0.33518824;9.873688
30;0.40222588;-0.2777274;9.931149
31;0.4213795;-0.2873042;9.835381
32;0.38307226;-0.29688102;9.892841
33;0.45968673;-0.30645782;9.844957
34;0.40222588;-0.29688102;9.873688
35;0.41180268;-0.31603462;9.873688
36;0.4405331;-0.25857377;9.883265
37;0.40222588;-0.30645782;9.825804
38;0.4309563;-0.2873042;9.873688
39;0.4309563;-0.2777274;9.873688
40;0.45010993;-0.2873042;9.921572
41;0.45010993;-0.24899697;9.883265
42;0.4213795;-0.29688102;9.854534
43;0.4405331;-0.32561144;9.931149
44;0.4213795;-0.30645782;9.825804
45;0.4309563;-0.24899697;9.883265
46;0.41180268;-0.2777274;9.911995
47;0.37349546;-0.31603462;9.854534
48;0.4405331;-0.2873042;9.816227
49;0.40222588;-0.29688102;9.854534
50;0.38307226;-0.2681506;9.931149
51;0.37349546;-0.22984336;9.80665
52;0.37349546;-0.37349546;9.921572
53;0.4405331;-0.24899697;9.844957
54;0.36391866;-0.32561144;9.892841
55;0.4213795;-0.22026655;9.864111
56;0.4309563;-0.30645782;9.892841
57;0.36391866;-0.29688102;9.931149
58;0.4405331;-0.2873042;9.854534
59;0.4213795;-0.30645782;9.825804
60;0.40222588;-0.2777274;9.844957
61;0.41180268;-0.29688102;9.883265
62;0.40222588;-0.2681506;9.864111
63;0.4405331;-0.22984336;9.816227
64;0.41180268;-0.23942018;9.873688
65;0.39264908;-0.29688102;9.854534
66;0.45010993;-0.24899697;9.825804
67;0.40222588;-0.2681506;9.80665
68;0.39264908;-0.2777274;9.873688
69;0.4213795;-0.2777274;9.768343
70;0.37349546;-0.31603462;9.902418
71;0.41180268;-0.2873042;9.883265
72;0.36391866;-0.2681506;9.844957
73;0.40222588;-0.2777274;9.854534
74;0.40222588;-0.31603462;9.883265
75;0.39264908;-0.2681506;9.835381
76;0.41180268;-0.23942018;9.835381
77;0.41180268;-0.30645782;9.883265
78;0.40222588;-0.25857377;9.854534
79;0.41180268;-0.31603462;9.854534
80;0.41180268;-0.29688102;9.864111
81;0.39264908;-0.2777274;9.835381
82;0.34476504;-0.33518824;9.883265
83;0.4405331;-0.2777274;9.883265
84;0.4405331;-0.24899697;9.883265
85;0.40222588;-0.33518824;9.864111
86;0.4405331;-0.30645782;9.844957
87;0.39264908;-0.29688102;9.825804
88;0.39264908;-0.30645782;9.873688
89;0.4213795;-0.30645782;9.835381
90;0.41180268;-0.35434186;9.911995
91;0.4405331;-0.2777274;9.873688
92;0.37349546;-0.31603462;9.797073
93;0.4309563;-0.2777274;9.873688
94;0.40222588;-0.30645782;9.835381
95;0.40222588;-0.23942018;9.921572
96;0.40222588;-0.31603462;9.864111
97;0.40222588;-0.29688102;9.825804
98;0.39264908;-0.30645782;9.921572
99;0.4213795;-0.2777274;9.816227
100;0.45010993;-0.30645782;9.835381
101;0.4405331;-0.2681506;9.816227
102;0.37349546;-0.31603462;9.902418
103;0.37349546;-0.2873042;9.797073
104;0.37349546;-0.29688102;9.844957
105;0.4213795;-0.30645782;9.864111
106;0.39264908;-0.29688102;9.854534
107;0.36391866;-0.2777274;9.854534
108;0.41180268;-0.30645782;9.864111
109;0.4309563;-0.25857377;9.835381
110;0.39264908;-0.32561144;9.864111
111;0.40222588;-0.23942018;9.816227
112;0.4309563;-0.2777274;9.873688
113;0.4405331;-0.29688102;9.950302
114;0.38307226;-0.2873042;9.80665
115;0.41180268;-0.24899697;9.883265
116;0.47884035;-0.22984336;9.911995
117;0.41180268;-0.2873042;9.835381
118;0.4405331;-0.29688102;9.873688
119;0.4213795;-0.24899697;9.911995
120;0.38307226;-0.32561144;9.892841
121;0.4309563;-0.30645782;9.883265
122;0.4213795;-0.31603462;9.873688
