ax;ay;az
-0.019153614;0.08619126;9.9790325
0.6607997;0.02873042;9.892841
0.2873042;0.2681506;9.691729
0.1340753;0.095768064;10.01734
0.59376204;0.06703765;10.007763
0.23942018;0.1340753;9.768343
0.61291564;-0.019153614;9.988609
0.23942018;0.0;10.065224
0.1436521;0.29688102;9.346964
0.6895301;0.21068975;9.404425
0.17238252;0.25857377;9.653421
0.5363012;0.1340753;9.433155
0.59376204;-0.019153614;10.5440645
0.17238252;-0.038307227;11.329363
0.22984336;0.2681506;9.662998
0.8714894;0.31603462;8.293514
-0.39264908;0.25857377;10.5440645
0.6512229;-0.08619126;11.262324
1.2162545;-0.2777274;10.505757
-1.4748282;0.41180268;10.218452
1.5705963;0.2777274;7.7189064
0.842759;0.6512229;7.5848308
-1.1779473;-0.21068975;15.533581
1.5993267;-0.8619126;12.344504
-0.15322891;1.2258313;6.0621185
0.30645782;0.17238252;9.835381
0.31603462;0.21068975;9.797073
0.36391866;0.18195933;9.931149
0.31603462;0.22984336;9.844957
0.35434186;0.25857377;9.844957
0.32561144;0.22026655;9.797073
0.31603462;0.30645782;9.892841
0.35434186;0.24899697;9.892841
0.34476504;0.2873042;9.835381
0.32561144;0.2681506;9.873688
0.32561144;0.22984336;9.80665
0.36391866;0.24899697;9.816227
0.35434186;0.2681506;9.77792
0.38307226;0.2681506;9.883265
0.31603462;0.29688102;9.873688
0.35434186;0.22026655;9.844957
0.32561144;0.22984336;9.883265
0.35434186;0.22984336;9.902418
0.31603462;0.22984336;9.864111
0.34476504;0.23942018;9.854534
0.32561144;0.23942018;9.883265
0.36391866;0.23942018;9.892841
0.36391866;0.2873042;9.921572
0.30645782;0.19153613;9.873688
0.35434186;0.19153613;9.921572
0.31603462;0.23942018;9.902418
0.36391866;0.21068975;9.854534
0.34476504;0.24899697;9.959879
0.33518824;0.20111294;9.80665
0.35434186;0.22984336;9.892841
0.33518824;0.16280572;9.864111
0.35434186;0.24899697;9.873688
0.37349546;0.17238252;9.873688
0.34476504;0.18195933;9.911995
0.32561144;0.15322891;9.911995
0.37349546;0.17238252;9.844957
0.34476504;0.16280572;9.844957
0.36391866;0.20111294;9.816227
0.35434186;0.19153613;9.940725
0.33518824;0.18195933;9.825804
0.34476504;0.17238252;9.80665
0.36391866;0.17238252;9.844957
0.33518824;0.1340753;9.921572
0.32561144;0.16280572;9.77792
0.34476504;0.1340753;9.835381
0.38307226;0.08619126;9.902418
0.30645782;0.20111294;9.835381
0.37349546;0.076614454;9.902418
0.25857377;0.16280572;9.797073
0.37349546;0.15322891;9.653421
0.41180268;0.08619126;9.864111
0.17238252;0.076614454;10.093954
0.41180268;0.10534488;9.950302
0.39264908;0.05746084;9.500193
0.20111294;0.12449849;9.797073
0.4309563;0.10534488;9.959879
0.34476504;0.095768064;9.883265
0.29688102;0.1436521;9.988609
0.30645782;0.19153613;9.720459
0.641646;0.047884032;9.950302
0.05746084;0.1340753;9.988609
0.48841715;0.06703765;10.199299
0.22984336;0.047884032;9.576807
0.36391866;0.2777274;9.509769
0.32561144;0.18195933;10.007763
0.2873042;0.21068975;9.998186
0.38307226;0.19153613;10.141838
0.24899697;0.21068975;9.9790325
0.30645782;0.2777274;9.950302
0.37349546;0.23942018;9.883265
0.30645782;0.25857377;9.883265
0.34476504;0.22026655;9.854534
0.35434186;0.25857377;9.921572
0.29688102;0.2777274;9.854534
0.36391866;0.22026655;9.854534
0.34476504;0.25857377;9.902418
0.35434186;0.2873042;9.854534
0.36391866;0.2777274;9.892841
0.33518824;0.23942018;9.835381
0.38307226;0.31603462;9.864111
0.37349546;0.24899697;9.825804
0.30645782;0.35434186;9.864111
0.36391866;0.30645782;9.80665
0.35434186;0.40222588;9.883265
0.31603462;0.35434186;9.902418
0.33518824;0.31603462;9.77792
0.2873042;0.39264908;9.940725
0.35434186;0.34476504;9.892841
0.29688102;0.38307226;9.892841
0.36391866;0.31603462;9.864111
0.37349546;0.35434186;9.883265
0.33518824;0.33518824;9.873688
0.32561144;0.29688102;9.883265
0.33518824;0.36391866;9.864111
0.37349546;0.2681506;9.835381
0.31603462;0.34476504;9.902418
0.32561144;0.25857377;9.825804
0.35434186;0.32561144;9.854534
0.30645782;0.34476504;9.844957
0.33518824;0.2873042;9.883265
0.37349546;0.25857377;9.911995
0.31603462;0.25857377;9.854534
0.39264908;0.2777274;9.883265
0.31603462;0.22026655;9.883265
0.32561144;0.21068975;9.902418
0.35434186;0.21068975;9.892841
0.32561144;0.24899697;9.883265
0.39264908;0.18195933;9.835381
0.2873042;0.19153613;9.902418
0.34476504;0.16280572;9.854534
0.35434186;0.20111294;9.825804
0.32561144;0.15322891;9.883265
0.36391866;0.17238252;9.921572
