ax;ay;az
0.32561144;0.2873042;9.844957
0.39264908;0.34476504;9.730036
0.2681506;0.29688102;9.892841
0.37349546;0.25857377;10.218452
0.2777274;0.2777274;10.0269165
0.2873042;0.37349546;9.730036
0.38307226;0.31603462;9.461885
0.24899697;0.31603462;9.816227
0.1340753;0.23942018;10.180145
0.39264908;0.29688102;9.816227
0.40222588;0.29688102;9.768343
0.38307226;0.23942018;9.80665
0.46926352;0.23942018;9.768343
0.32561144;0.35434186;9.682152
0.34476504;0.37349546;9.883265
0.2777274;0.2777274;10.237606
0.30645782;0.25857377;10.113108
0.32561144;0.2777274;10.036493
0.2777274;0.29688102;9.816227
0.2777274;0.2777274;9.883265
0.49799395;0.16280572;10.28549
0.2777274;0.15322891;10.831368
-0.19153613;0.34476504;10.228029
0.4309563;0.34476504;8.992621
0.45968673;0.40222588;8.599973
0.31603462;0.30645782;9.931149
0.22984336;0.2777274;9.864111
0.25857377;0.23942018;9.80665
0.2681506;0.2777274;9.892841
0.2777274;0.29688102;9.883265
0.25857377;0.31603462;9.921572
0.33518824;0.25857377;9.854534
0.31603462;0.2777274;9.854534
0.2873042;0.32561144;9.892841
0.33518824;0.25857377;9.825804
0.2873042;0.31603462;9.883265
0.29688102;0.23942018;9.883265
0.2777274;0.31603462;9.921572
0.24899697;0.2873042;9.825804
0.31603462;0.31603462;9.835381
0.2681506;0.2873042;9.940725
0.30645782;0.32561144;9.902418
0.29688102;0.2873042;9.911995
0.2777274;0.29688102;9.883265
0.30645782;0.33518824;9.892841
0.33518824;0.2873042;9.844957
0.38307226;0.2873042;9.883265
0.33518824;0.2777274;9.844957
0.31603462;0.35434186;9.9790325
0.29688102;0.2873042;9.883265
0.31603462;0.31603462;9.854534
0.2873042;0.32561144;9.873688
0.31603462;0.2681506;9.940725
0.31603462;0.29688102;9.797073
0.29688102;0.30645782;9.864111
0.2873042;0.36391866;9.892841
0.34476504;0.2873042;9.844957
0.2777274;0.33518824;9.931149
0.2777274;0.2873042;9.864111
0.30645782;0.30645782;9.892841
0.22984336;0.30645782;9.931149
0.38307226;0.33518824;9.844957
0.25857377;0.2873042;9.959879
0.30645782;0.30645782;9.825804
0.35434186;0.2873042;9.835381
0.17238252;0.29688102;9.864111
0.37349546;0.32561144;9.816227
0.29688102;0.2681506;9.892841
0.31603462;0.2681506;9.902418
0.30645782;0.32561144;9.883265
0.29688102;0.33518824;9.854534
0.2873042;0.32561144;9.816227
0.29688102;0.32561144;9.816227
0.30645782;0.30645782;9.873688
0.2873042;0.31603462;9.892841
0.33518824;0.30645782;9.844957
0.30645782;0.33518824;9.864111
0.33518824;0.2777274;9.911995
0.31603462;0.2873042;9.816227
0.2873042;0.2873042;9.844957
0.33518824;0.33518824;9.931149
0.29688102;0.36391866;9.940725
0.31603462;0.2777274;9.921572
0.33518824;0.39264908;9.911995
0.34476504;0.35434186;9.835381
0.32561144;0.31603462;9.854534
0.25857377;0.30645782;9.825804
0.35434186;0.31603462;9.835381
0.21068975;0.22026655;9.892841
0.36391866;0.33518824;9.883265
0.29688102;0.31603462;9.787497
0.15322891;0.19153613;9.940725
0.5267244;0.22026655;9.854534
0.076614454;0.2873042;9.835381
0.48841715;0.21068975;9.883265
0.25857377;0.34476504;9.969456
-0.08619126;0.29688102;9.787497
1.3024458;0.12449849;9.80665
-0.38307226;0.33518824;10.036493
0.32561144;0.35434186;9.797073
0.31603462;0.33518824;9.950302
0.2873042;0.2873042;9.835381
0.34476504;0.32561144;9.854534
0.36391866;0.32561144;9.883265
0.30645782;0.30645782;9.825804
0.29688102;0.32561144;9.950302
0.31603462;0.33518824;9.854534
0.25857377;0.33518824;9.883265
0.35434186;0.30645782;9.864111
0.24899697;0.32561144;9.931149
0.24899697;0.34476504;10.01734
0.33518824;0.2681506;9.825804
0.24899697;0.32561144;9.758766
0.35434186;0.35434186;9.844957
0.23942018;0.25857377;10.04607
0.25857377;0.32561144;9.816227
0.4405331;0.30645782;9.787497
0.22026655;0.25857377;9.835381
0.30645782;0.30645782;9.969456
0.25857377;0.29688102;9.844957
0.32561144;0.2777274;9.844957
0.30645782;0.32561144;9.950302
0.31603462;0.34476504;9.835381
0.33518824;0.30645782;9.825804
0.2873042;0.30645782;9.825804
0.37349546;0.29688102;9.892841
0.32561144;0.2681506;9.797073
0.32561144;0.32561144;9.844957
0.35434186;0.32561144;9.950302
0.25857377;0.33518824;9.864111
0.32561144;0.39264908;9.940725
0.2777274;0.33518824;9.844957
0.29688102;0.32561144;9.940725
0.29688102;0.2873042;9.864111
0.2873042;0.32561144;9.864111
0.29688102;0.2873042;9.873688
0.2873042;0.32561144;9.921572
0.34476504;0.30645782;9.940725
0.33518824;0.31603462;9.80665
0.29688102;0.31603462;9.787497
0.29688102;0.32561144;9.873688
0.2777274;0.2777274;9.883265
0.2873042;0.34476504;9.911995
0.30645782;0.36391866;9.844957
0.2873042;0.31603462;9.80665
0.38307226;0.31603462;9.921572
0.24899697;0.31603462;10.0269165
0.2777274;0.34476504;9.835381
0.37349546;0.38307226;9.634268
0.2777274;0.33518824;9.969456
0.25857377;0.34476504;10.295067
0.24899697;0.31603462;9.825804
0.4405331;0.36391866;9.5385
0.24899697;0.30645782;9.797073
0.23942018;0.30645782;10.247183
0.30645782;0.31603462;9.864111
0.2777274;0.29688102;9.873688
0.33518824;0.34476504;9.892841
0.34476504;0.25857377;9.873688
0.2681506;0.2873042;9.854534
0.30645782;0.2873042;9.854534
0.29688102;0.34476504;9.873688
0.36391866;0.29688102;9.873688
0.33518824;0.35434186;9.921572
0.2777274;0.33518824;9.883265
0.32561144;0.33518824;9.816227
0.32561144;0.2873042;9.825804
0.31603462;0.25857377;9.864111
0.32561144;0.2873042;9.873688
0.30645782;0.31603462;9.797073
0.30645782;0.33518824;9.873688
0.29688102;0.30645782;9.911995
0.2873042;0.2681506;9.854534
0.29688102;0.33518824;9.883265
0.30645782;0.2681506;9.825804
0.33518824;0.2777274;9.892841
0.31603462;0.2681506;9.816227
0.2873042;0.32561144;9.844957
0.31603462;0.29688102;9.892841
0.2681506;0.25857377;9.892841
0.32561144;0.24899697;9.854534
0.29688102;0.2873042;9.77792
0.2873042;0.36391866;9.873688
0.31603462;0.25857377;9.911995
0.2681506;0.30645782;9.844957
0.29688102;0.35434186;9.892841
0.31603462;0.31603462;9.921572
0.29688102;0.34476504;9.873688
0.2873042;0.31603462;9.931149
