;ay;ax;az
0;0.095768064;-0.40222588;10.007763
1;0.24899697;-0.41180268;9.825804
2;0.1340753;-0.39264908;9.825804
3;0.18195933;-0.41180268;10.04607
4;0.22984336;-0.51714754;9.615114
5;0.24899697;-0.50757074;9.730036
6;0.18195933;-0.37349546;10.390836
7;-0.23942018;-0.50757074;9.787497
8;0.62249243;-0.4309563;8.868123
9;0.22984336;-0.4405331;9.797073
10;-0.08619126;-0.2873042;10.448297
11;0.4309563;-0.30645782;10.007763
12;-0.08619126;-0.45968673;9.720459
13;0.31603462;-0.5363012;9.749189
14;0.22026655;-0.37349546;9.730036
15;0.25857377;-0.2777274;10.754754
16;-0.02873042;-0.40222588;11.15698
17;-0.6799533;-0.82360536;8.829816
18;1.5514427;-0.34476504;8.226477
19;-0.4213795;-0.12449849;12.038046
20;-0.8810662;-0.10534488;11.884817
21;1.5035586;-0.6991069;8.015787
22;-0.22026655;-0.47884035;9.174581
23;0.21068975;-0.45010993;9.902418
24;0.16280572;-0.4213795;9.902418
25;0.18195933;-0.38307226;9.873688
26;0.17238252;-0.4213795;9.864111
27;0.16280572;-0.41180268;9.873688
28;0.20111294;-0.45968673;9.864111
29;0.18195933;-0.4213795;9.854534
30;0.18195933;-0.40222588;9.854534
31;0.16280572;-0.40222588;9.892841
32;0.22984336;-0.45968673;9.902418
33;0.19153613;-0.46926352;9.911995
34;0.15322891;-0.45968673;9.892841
35;0.21068975;-0.46926352;9.873688
36;0.15322891;-0.4309563;9.816227
37;0.23942018;-0.45968673;9.854534
38;0.16280572;-0.45968673;9.854534
39;0.20111294;-0.48841715;9.825804
40;0.15322891;-0.46926352;9.959879
41;0.15322891;-0.4405331;9.873688
42;0.20111294;-0.5267244;9.864111
43;0.18195933;-0.49799395;9.892841
44;0.19153613;-0.49799395;9.864111
45;0.22026655;-0.5746084;9.998186
46;0.17238252;-0.45010993;9.787497
47;0.22026655;-0.47884035;9.835381
48;0.18195933;-0.45010993;9.921572
49;0.16280572;-0.45968673;9.931149
50;0.18195933;-0.5650316;9.902418
51;0.18195933;-0.48841715;9.825804
52;0.17238252;-0.45968673;9.9790325
53;0.18195933;-0.45968673;9.911995
54;0.17238252;-0.48841715;9.873688
55;0.16280572;-0.4405331;9.892841
56;0.1436521;-0.46926352;9.921572
57;0.17238252;-0.4405331;9.797073
58;0.22026655;-0.545878;9.940725
59;0.19153613;-0.51714754;9.864111
60;0.21068975;-0.47884035;9.921572
61;0.21068975;-0.51714754;9.940725
62;0.20111294;-0.49799395;9.921572
63;0.20111294;-0.48841715;9.959879
64;0.22026655;-0.51714754;9.902418
65;0.19153613;-0.51714754;9.931149
66;0.17238252;-0.45968673;9.854534
67;0.21068975;-0.4405331;9.797073
68;0.21068975;-0.50757074;9.959879
69;0.21068975;-0.50757074;9.892841
70;0.17238252;-0.48841715;9.950302
71;0.20111294;-0.4405331;9.854534
72;0.16280572;-0.4213795;9.931149
73;0.12449849;-0.37349546;9.883265
74;0.18195933;-0.40222588;9.816227
75;0.22026655;-0.4309563;9.835381
76;0.1340753;-0.36391866;9.873688
77;0.16280572;-0.40222588;9.911995
78;0.19153613;-0.37349546;9.835381
79;0.17238252;-0.38307226;9.844957
80;0.18195933;-0.40222588;9.902418
81;0.1340753;-0.4213795;9.864111
82;0.18195933;-0.40222588;9.864111
83;0.17238252;-0.4309563;9.835381
84;0.15322891;-0.32561144;9.883265
85;0.15322891;-0.37349546;9.883265
86;0.16280572;-0.33518824;9.835381
87;0.22984336;-0.36391866;9.816227
