ax;ay;az
-0.90021986;-0.02873042;10.151415
-0.1436521;0.05746084;10.180145
-0.35434186;0.1340753;9.931149
-0.6799533;0.05746084;9.184157
-0.24899697;0.009576807;10.477027
-0.50757074;-0.06703765;10.381259
-0.5746084;0.038307227;9.653421
-0.25857377;0.16280572;9.375694
-0.47884035;0.12449849;9.270349
-0.58418524;-0.02873042;9.768343
-0.48841715;-0.22026655;11.664551
-0.047884032;0.0;10.716447
-1.292869;0.2777274;7.240066
-0.23942018;0.24899697;9.682152
0.047884032;-0.5363012;12.210428
-1.8004397;-0.842759;11.386824
0.6895301;0.45968673;10.457873
-0.1436521;0.49799395;8.015787
-2.2601264;0.45010993;6.4260373
1.3599066;-0.38307226;11.549629
-2.3080103;-2.4133554;15.47612
-0.1340753;1.091756;6.540959
-0.47884035;0.02873042;9.662998
-0.47884035;0.08619126;9.902418
-0.4213795;0.06703765;9.835381
-0.47884035;0.06703765;9.902418
-0.45010993;0.095768064;9.911995
-0.41180268;0.08619126;9.844957
-0.41180268;0.05746084;9.883265
-0.41180268;0.11492168;9.864111
-0.47884035;0.02873042;9.864111
-0.4405331;0.1340753;9.940725
-0.45010993;0.06703765;9.864111
-0.4309563;0.10534488;9.883265
-0.4405331;0.05746084;9.969456
-0.5267244;0.05746084;9.854534
-0.46926352;0.08619126;9.854534
-0.4405331;0.095768064;9.940725
-0.45010993;0.095768064;9.844957
-0.4405331;0.076614454;9.844957
-0.45968673;0.08619126;9.959879
-0.47884035;0.05746084;9.940725
-0.4309563;0.076614454;9.825804
-0.4309563;0.12449849;9.816227
-0.45968673;0.08619126;9.873688
-0.45010993;0.095768064;9.864111
-0.47884035;0.10534488;9.921572
-0.45010993;0.12449849;9.835381
-0.45968673;0.009576807;9.911995
-0.4405331;0.076614454;9.825804
-0.48841715;0.08619126;9.911995
-0.4405331;0.095768064;9.844957
-0.45010993;0.095768064;9.873688
-0.46926352;0.05746084;9.883265
-0.4405331;0.076614454;9.883265
-0.45010993;0.08619126;9.844957
-0.45968673;0.038307227;9.921572
-0.45968673;0.05746084;9.864111
-0.45010993;0.06703765;9.911995
