;ay;ax;az
0;0.63206923;-0.076614454;10.342952
1;0.58418524;-0.009576807;9.883265
2;0.8619126;0.08619126;8.916007
3;0.61291564;0.0;9.739613
4;0.51714754;-0.11492168;11.051635
5;0.641646;-0.019153614;9.9790325
6;0.7565677;0.019153614;9.050082
7;0.5554548;0.1436521;8.963891
8;0.63206923;0.06703765;9.433155
9;0.94810385;-0.33518824;10.888829
10;0.45968673;-0.16280572;11.3964
11;0.5363012;0.11492168;9.375694
12;1.3215994;0.18195933;7.872135
13;-0.095768064;-0.05746084;10.955867
14;0.94810385;-0.35434186;12.105083
15;1.2641385;-0.4309563;10.611102
16;-0.60333884;0.22026655;9.500193
17;1.7717092;0.1340753;7.4028716
18;0.90021986;0.2681506;8.207323
19;-0.79487497;-0.20111294;14.920665
20;1.6663644;-0.5363012;12.076353
21;-0.009576807;0.545878;6.7803793
22;0.6895301;-0.019153614;9.883265
23;0.6607997;-0.019153614;9.825804
24;0.6703765;-0.009576807;9.892841
25;0.6703765;-0.047884032;9.892841
26;0.6799533;-0.1436521;9.835381
27;0.7086837;-0.11492168;9.80665
28;0.6895301;-0.095768064;9.873688
29;0.6895301;-0.05746084;9.873688
30;0.6703765;-0.06703765;9.80665
31;0.6703765;-0.05746084;9.969456
32;0.6607997;-0.095768064;10.01734
33;0.6799533;-0.05746084;9.873688
34;0.6703765;-0.095768064;9.921572
35;0.63206923;-0.10534488;9.864111
36;0.6991069;-0.05746084;9.9790325
37;0.6512229;-0.05746084;9.921572
38;0.6703765;-0.076614454;9.80665
39;0.7278373;-0.038307227;9.883265
40;0.62249243;-0.02873042;9.864111
41;0.6895301;-0.11492168;9.883265
42;0.6512229;-0.05746084;9.825804
43;0.6799533;-0.019153614;9.835381
44;0.6895301;-0.047884032;9.892841
45;0.6607997;-0.08619126;9.873688
46;0.6703765;-0.02873042;9.931149
47;0.6607997;-0.06703765;9.9790325
48;0.641646;-0.05746084;9.950302
49;0.6607997;-0.05746084;9.931149
50;0.7278373;-0.02873042;9.911995
51;0.6799533;-0.06703765;9.835381
52;0.641646;-0.009576807;9.940725
53;0.6895301;-0.06703765;9.892841
54;0.641646;0.038307227;9.883265
55;0.641646;-0.05746084;9.797073
56;0.6895301;-0.038307227;9.854534
57;0.641646;-0.019153614;9.835381
58;0.6991069;0.0;9.864111
59;0.6703765;0.0;9.911995
60;0.6799533;-0.02873042;9.730036
61;0.7469909;-0.019153614;9.825804
62;0.7086837;-0.08619126;10.04607
63;0.7086837;-0.095768064;10.055647
64;0.7374141;-0.038307227;9.998186
65;0.6703765;-0.047884032;9.873688
66;0.7661445;-0.06703765;9.892841
67;0.62249243;-0.095768064;10.25676
68;0.62249243;-0.19153613;10.371682
69;0.7086837;-0.06703765;9.80665
70;0.60333884;0.10534488;9.394848
71;0.78529817;-0.009576807;9.749189
72;0.58418524;-0.095768064;10.390836
73;0.45968673;-0.10534488;10.342952
74;1.0247183;0.11492168;9.576807
75;0.17238252;0.08619126;9.548077
76;0.7182605;-0.05746084;9.710882
77;0.7469909;-0.076614454;9.710882
78;0.6895301;-0.095768064;9.873688
79;0.6607997;-0.02873042;9.864111
80;0.6991069;-0.009576807;9.873688
81;0.7182605;-0.047884032;9.931149
82;0.6895301;0.0;9.854534
83;0.6703765;0.0;9.883265
84;0.63206923;-0.009576807;9.931149
85;0.6799533;-0.019153614;9.892841
86;0.6895301;-0.047884032;9.892841
87;0.6512229;-0.076614454;9.883265
88;0.63206923;0.009576807;9.892841
89;0.6799533;-0.009576807;9.959879
90;0.6607997;-0.05746084;9.835381
91;0.7086837;-0.076614454;9.959879
92;0.6895301;-0.05746084;9.950302
93;0.7086837;-0.019153614;9.921572
94;0.63206923;-0.019153614;9.921572
95;0.62249243;-0.06703765;9.902418
96;0.7374141;-0.12449849;9.902418
97;0.6799533;-0.06703765;9.911995
98;0.60333884;-0.02873042;9.921572
99;0.63206923;-0.05746084;9.950302
100;0.6512229;0.0;9.883265
101;0.6607997;-0.076614454;9.911995
102;0.6703765;-0.05746084;9.911995
103;0.6799533;0.0;9.854534
104;0.63206923;-0.02873042;9.902418
105;0.6991069;-0.05746084;9.902418
106;0.6799533;-0.009576807;9.959879
107;0.63206923;0.0;9.883265
108;0.641646;-0.06703765;9.959879
109;0.6703765;-0.05746084;9.931149
110;0.63206923;-0.047884032;9.873688
111;0.6512229;-0.08619126;9.9790325
112;0.6512229;-0.019153614;9.902418
113;0.6799533;-0.11492168;9.921572
114;0.641646;-0.02873042;9.921572
115;0.6991069;-0.05746084;9.873688
116;0.641646;-0.076614454;9.959879
117;0.6799533;-0.05746084;9.873688
118;0.6703765;-0.047884032;9.892841
119;0.6895301;-0.076614454;9.902418
120;0.63206923;0.0;9.854534
121;0.6895301;-0.038307227;9.797073
122;0.59376204;0.0;9.931149
123;0.59376204;-0.05746084;9.873688
124;0.6895301;-0.038307227;9.892841
125;0.6512229;0.0;9.911995
126;0.6703765;-0.05746084;9.902418
127;0.7182605;-0.08619126;9.892841
128;0.63206923;-0.019153614;9.873688
129;0.63206923;-0.05746084;9.940725
130;0.6607997;-0.076614454;9.864111
131;0.6895301;-0.05746084;9.998186
132;0.6607997;-0.019153614;9.854534
133;0.6607997;-0.076614454;9.950302
134;0.6607997;-0.047884032;9.9790325
135;0.6799533;-0.02873042;9.950302
136;0.6703765;-0.076614454;9.921572
137;0.6512229;-0.038307227;9.835381
138;0.641646;-0.02873042;9.864111
139;0.6895301;-0.06703765;9.969456
140;0.641646;-0.038307227;9.911995
141;0.6703765;0.0;9.883265
142;0.62249243;-0.08619126;9.911995
143;0.641646;0.0;9.931149
144;0.7086837;-0.076614454;9.931149
145;0.62249243;-0.047884032;9.883265
146;0.6512229;-0.05746084;9.911995
147;0.6512229;-0.095768064;9.988609
148;0.60333884;-0.02873042;9.844957
149;0.6607997;-0.095768064;9.950302
150;0.641646;-0.076614454;9.940725
151;0.6703765;-0.08619126;9.950302
152;0.641646;-0.047884032;9.921572
153;0.61291564;0.009576807;9.873688
154;0.6799533;-0.076614454;9.959879
155;0.63206923;-0.019153614;9.854534
156;0.7086837;-0.05746084;9.921572
157;0.6703765;-0.076614454;9.892841
158;0.7278373;-0.06703765;9.854534
159;0.6703765;-0.05746084;9.9790325
160;0.6607997;-0.038307227;9.854534
161;0.6895301;-0.11492168;9.883265
162;0.6799533;-0.076614454;9.892841
163;0.6799533;0.0;9.959879
164;0.6607997;-0.095768064;9.950302
165;0.641646;-0.009576807;9.864111
166;0.6895301;-0.08619126;9.892841
167;0.63206923;-0.08619126;10.01734
168;0.6512229;-0.019153614;9.998186
169;0.6703765;-0.019153614;9.921572
170;0.6799533;-0.019153614;9.883265
171;0.6799533;-0.038307227;9.940725
172;0.7086837;-0.06703765;9.959879
173;0.62249243;-0.06703765;9.873688
174;0.6895301;-0.076614454;9.969456
175;0.60333884;-0.047884032;9.931149
176;0.7086837;-0.047884032;9.959879
177;0.6703765;-0.05746084;9.931149
178;0.6799533;-0.038307227;9.911995
179;0.7278373;-0.11492168;9.950302
180;0.6895301;-0.02873042;9.959879
181;0.6895301;-0.047884032;9.902418
182;0.6703765;-0.047884032;9.892841
183;0.6895301;-0.05746084;9.873688
184;0.6991069;-0.047884032;9.892841
185;0.63206923;-0.076614454;9.835381
186;0.7182605;-0.047884032;9.825804
187;0.6991069;-0.009576807;9.940725
188;0.6512229;0.0;9.873688
189;0.6703765;-0.038307227;9.950302
190;0.6799533;-0.02873042;9.844957
191;0.7086837;-0.076614454;9.883265
192;0.6703765;-0.076614454;9.959879
193;0.61291564;0.0;9.844957
194;0.7086837;-0.02873042;9.825804
195;0.63206923;0.038307227;9.940725
196;0.6607997;-0.019153614;9.864111
197;0.7374141;-0.095768064;9.931149
198;0.6991069;-0.05746084;9.80665
199;0.6991069;0.0;9.902418
200;0.60333884;0.02873042;9.883265
201;0.6895301;-0.06703765;9.911995
202;0.62249243;-0.009576807;9.911995
203;0.62249243;-0.11492168;9.883265
204;0.6512229;-0.05746084;9.835381
205;0.641646;-0.019153614;9.854534
206;0.6512229;0.0;9.940725
207;0.6703765;-0.009576807;9.844957
208;0.6703765;0.038307227;9.921572
209;0.6703765;0.009576807;9.883265
210;0.6607997;-0.02873042;9.921572
211;0.7278373;0.009576807;9.911995
212;0.6799533;0.009576807;9.950302
213;0.7086837;0.0;9.950302
214;0.7278373;-0.05746084;9.844957
215;0.6703765;-0.047884032;9.892841
216;0.7278373;0.009576807;9.921572
217;0.7182605;0.019153614;9.950302
218;0.6512229;-0.038307227;9.835381
219;0.7278373;-0.038307227;9.873688
220;0.63206923;0.0;9.873688
221;0.7086837;-0.038307227;9.902418
222;0.6703765;0.0;9.873688
223;0.63206923;0.0;9.931149
224;0.7182605;-0.06703765;9.959879
225;0.62249243;-0.038307227;9.816227
