ax;ay;az
-0.009576807;-0.02873042;9.653421
-0.18195933;-0.18195933;10.1226845
0.076614454;-0.11492168;10.228029
-0.038307227;0.0;9.749189
-0.22026655;-0.02873042;9.595961
0.009576807;-0.047884032;9.873688
-0.02873042;-0.10534488;10.275913
-0.047884032;-0.12449849;10.0269165
-0.05746084;-0.02873042;9.672575
-0.11492168;-0.02873042;9.787497
0.076614454;-0.06703765;10.04607
-0.095768064;-0.11492168;10.055647
-0.10534488;0.038307227;9.835381
-0.047884032;-0.095768064;9.816227
-0.10534488;-0.05746084;10.065224
-0.038307227;-0.095768064;9.921572
-0.095768064;-0.076614454;9.931149
-0.08619126;-0.10534488;9.892841
-0.095768064;-0.076614454;9.873688
-0.05746084;-0.019153614;10.065224
-0.08619126;-0.019153614;9.998186
-0.11492168;-0.047884032;9.873688
-0.1340753;-0.047884032;9.835381
-0.05746084;-0.076614454;9.931149
-0.1340753;-0.06703765;9.911995
-0.12449849;-0.05746084;9.844957
-0.095768064;-0.038307227;9.921572
-0.10534488;-0.06703765;9.864111
-0.047884032;-0.02873042;9.854534
-0.11492168;-0.038307227;9.969456
-0.08619126;-0.06703765;9.931149
-0.06703765;-0.05746084;9.825804
-0.076614454;-0.095768064;9.940725
-0.019153614;-0.06703765;9.940725
-0.11492168;-0.05746084;9.911995
-0.06703765;-0.05746084;9.844957
-0.076614454;-0.076614454;9.950302
-0.11492168;-0.009576807;9.969456
-0.038307227;-0.047884032;9.902418
-0.06703765;-0.05746084;9.931149
-0.11492168;-0.08619126;9.940725
-0.05746084;-0.06703765;9.902418
-0.095768064;-0.047884032;9.892841
-0.076614454;-0.095768064;9.892841
-0.1340753;-0.019153614;10.055647
-0.047884032;-0.009576807;9.873688
-0.08619126;-0.02873042;9.998186
-0.1340753;-0.009576807;9.902418
-0.076614454;-0.076614454;9.940725
-0.16280572;-0.06703765;9.902418
-0.05746084;-0.02873042;9.835381
-0.10534488;-0.08619126;9.950302
-0.1340753;-0.019153614;9.921572
-0.047884032;-0.019153614;9.873688
-0.06703765;-0.06703765;9.959879
-0.076614454;-0.047884032;9.998186
-0.08619126;-0.10534488;9.911995
-0.10534488;-0.047884032;9.9790325
-0.02873042;-0.1340753;9.950302
-0.095768064;-0.12449849;9.969456
-0.10534488;-0.06703765;9.959879
-0.047884032;-0.076614454;9.883265
-0.095768064;-0.1436521;10.007763
-0.02873042;-0.08619126;9.9790325
-0.11492168;-0.19153613;10.007763
-0.095768064;-0.12449849;9.892841
-0.095768064;-0.06703765;9.969456
-0.08619126;-0.076614454;9.864111
