;ay;ax;az
1;0.6607997;-0.02873042;9.892841
2;0.2873042;-0.2681506;9.691729
3;0.1340753;-0.095768064;10.01734
4;0.59376204;-0.06703765;10.007763
5;0.23942018;-0.1340753;9.768343
6;0.61291564;0.019153614;9.988609
7;0.23942018;-0.0;10.065224
8;0.1436521;-0.29688102;9.346964
9;0.6895301;-0.21068975;9.404425
10;0.17238252;-0.25857377;9.653421
11;0.5363012;-0.1340753;9.433155
12;0.59376204;0.019153614;10.5440645
13;0.17238252;0.038307227;11.329363
14;0.22984336;-0.2681506;9.662998
15;0.8714894;-0.31603462;8.293514
16;-0.39264908;-0.25857377;10.5440645
17;0.6512229;0.08619126;11.262324
18;1.2162545;0.2777274;10.505757
19;-1.4748282;-0.41180268;10.218452
20;1.5705963;-0.2777274;7.7189064
21;0.842759;-0.6512229;7.5848308
22;-1.1779473;0.21068975;15.533581
23;1.5993267;0.8619126;12.344504
24;-0.15322891;-1.2258313;6.0621185
25;0.30645782;-0.17238252;9.835381
26;0.31603462;-0.21068975;9.797073
27;0.36391866;-0.18195933;9.931149
28;0.31603462;-0.22984336;9.844957
29;0.35434186;-0.25857377;9.844957
30;0.32561144;-0.22026655;9.797073
31;0.31603462;-0.30645782;9.892841
32;0.35434186;-0.24899697;9.892841
33;0.34476504;-0.2873042;9.835381
34;0.32561144;-0.2681506;9.873688
35;0.32561144;-0.22984336;9.80665
36;0.36391866;-0.24899697;9.816227
37;0.35434186;-0.2681506;9.77792
38;0.38307226;-0.2681506;9.883265
39;0.31603462;-0.29688102;9.873688
40;0.35434186;-0.22026655;9.844957
41;0.32561144;-0.22984336;9.883265
42;0.35434186;-0.22984336;9.902418
43;0.31603462;-0.22984336;9.864111
44;0.34476504;-0.23942018;9.854534
45;0.32561144;-0.23942018;9.883265
46;0.36391866;-0.23942018;9.892841
47;0.36391866;-0.2873042;9.921572
48;0.30645782;-0.19153613;9.873688
49;0.35434186;-0.19153613;9.921572
50;0.31603462;-0.23942018;9.902418
51;0.36391866;-0.21068975;9.854534
52;0.34476504;-0.24899697;9.959879
53;0.33518824;-0.20111294;9.80665
54;0.35434186;-0.22984336;9.892841
55;0.33518824;-0.16280572;9.864111
56;0.35434186;-0.24899697;9.873688
57;0.37349546;-0.17238252;9.873688
58;0.34476504;-0.18195933;9.911995
59;0.32561144;-0.15322891;9.911995
60;0.37349546;-0.17238252;9.844957
61;0.34476504;-0.16280572;9.844957
62;0.36391866;-0.20111294;9.816227
63;0.35434186;-0.19153613;9.940725
64;0.33518824;-0.18195933;9.825804
65;0.34476504;-0.17238252;9.80665
66;0.36391866;-0.17238252;9.844957
67;0.33518824;-0.1340753;9.921572
68;0.32561144;-0.16280572;9.77792
69;0.34476504;-0.1340753;9.835381
70;0.38307226;-0.08619126;9.902418
71;0.30645782;-0.20111294;9.835381
72;0.37349546;-0.076614454;9.902418
73;0.25857377;-0.16280572;9.797073
74;0.37349546;-0.15322891;9.653421
75;0.41180268;-0.08619126;9.864111
76;0.17238252;-0.076614454;10.093954
77;0.41180268;-0.10534488;9.950302
78;0.39264908;-0.05746084;9.500193
79;0.20111294;-0.12449849;9.797073
80;0.4309563;-0.10534488;9.959879
81;0.34476504;-0.095768064;9.883265
82;0.29688102;-0.1436521;9.988609
83;0.30645782;-0.19153613;9.720459
84;0.641646;-0.047884032;9.950302
85;0.05746084;-0.1340753;9.988609
86;0.48841715;-0.06703765;10.199299
87;0.22984336;-0.047884032;9.576807
88;0.36391866;-0.2777274;9.509769
89;0.32561144;-0.18195933;10.007763
90;0.2873042;-0.21068975;9.998186
91;0.38307226;-0.19153613;10.141838
92;0.24899697;-0.21068975;9.9790325
93;0.30645782;-0.2777274;9.950302
94;0.37349546;-0.23942018;9.883265
95;0.30645782;-0.25857377;9.883265
96;0.34476504;-0.22026655;9.854534
97;0.35434186;-0.25857377;9.921572
98;0.29688102;-0.2777274;9.854534
99;0.36391866;-0.22026655;9.854534
100;0.34476504;-0.25857377;9.902418
101;0.35434186;-0.2873042;9.854534
102;0.36391866;-0.2777274;9.892841
103;0.33518824;-0.23942018;9.835381
104;0.38307226;-0.31603462;9.864111
105;0.37349546;-0.24899697;9.825804
106;0.30645782;-0.35434186;9.864111
107;0.36391866;-0.30645782;9.80665
108;0.35434186;-0.40222588;9.883265
109;0.31603462;-0.35434186;9.902418
110;0.33518824;-0.31603462;9.77792
111;0.2873042;-0.39264908;9.940725
112;0.35434186;-0.34476504;9.892841
113;0.29688102;-0.38307226;9.892841
114;0.36391866;-0.31603462;9.864111
115;0.37349546;-0.35434186;9.883265
116;0.33518824;-0.33518824;9.873688
117;0.32561144;-0.29688102;9.883265
118;0.33518824;-0.36391866;9.864111
119;0.37349546;-0.2681506;9.835381
120;0.31603462;-0.34476504;9.902418
121;0.32561144;-0.25857377;9.825804
122;0.35434186;-0.32561144;9.854534
123;0.30645782;-0.34476504;9.844957
124;0.33518824;-0.2873042;9.883265
125;0.37349546;-0.25857377;9.911995
126;0.31603462;-0.25857377;9.854534
127;0.39264908;-0.2777274;9.883265
128;0.31603462;-0.22026655;9.883265
129;0.32561144;-0.21068975;9.902418
130;0.35434186;-0.21068975;9.892841
131;0.32561144;-0.24899697;9.883265
132;0.39264908;-0.18195933;9.835381
133;0.2873042;-0.19153613;9.902418
134;0.34476504;-0.16280572;9.854534
135;0.35434186;-0.20111294;9.825804
136;0.32561144;-0.15322891;9.883265
137;0.36391866;-0.17238252;9.921572
138;0.34476504;-0.16280572;9.835381
139;0.38307226;-0.076614454;9.873688
140;0.33518824;-0.12449849;9.873688
141;0.33518824;-0.12449849;9.873688
142;0.33518824;-0.11492168;9.911995
143;0.34476504;-0.12449849;9.825804
144;0.36391866;-0.1340753;9.911995
145;0.30645782;-0.08619126;9.883265
146;0.33518824;-0.12449849;9.864111
147;0.35434186;-0.10534488;9.883265
148;0.33518824;-0.095768064;9.892841
149;0.4213795;-0.05746084;9.883265
150;0.32561144;-0.095768064;9.892841
151;0.32561144;-0.076614454;9.854534
152;0.36391866;-0.11492168;9.864111
153;0.2777274;-0.095768064;9.921572
154;0.33518824;-0.095768064;9.940725
155;0.33518824;-0.10534488;9.892841
156;0.2681506;-0.05746084;9.864111
157;0.31603462;-0.02873042;9.959879
158;0.30645782;-0.11492168;9.873688
159;0.33518824;-0.08619126;9.883265
160;0.38307226;-0.076614454;9.892841
161;0.30645782;-0.05746084;9.892841
162;0.33518824;-0.076614454;9.969456
163;0.30645782;-0.019153614;9.844957
164;0.30645782;-0.11492168;9.892841
165;0.32561144;-0.11492168;9.959879
166;0.30645782;-0.12449849;9.80665
167;0.34476504;-0.16280572;9.902418
168;0.35434186;-0.095768064;9.883265
