26;-21;49
19;25;18
23;-8;21
21;0;20
21;8;15
31;5;26
26;11;35
24;13;38
18;9;37
-36;-21;9
-51;-36;16
-54;-58;88
-372;-384;236
-1151;-824;66
-1748;-912;-146
-1588;-948;-236
-989;-604;-93
-528;-31;29
-19;-207;-181
106;-102;159
186;-41;311
-218;15;27
-497;-334;-173
-819;-376;-6
-760;-525;214
-728;-480;-278
-584;-73;126
-230;-382;-38
-162;-412;-285
-228;-130;113
-325;26;338
-525;176;6
-342;-13;284
-203;-488;48
-335;-19;381
-542;-148;-278
-272;-213;-229
-105;-269;151
-53;-220;397
-268;-68;-277
-275;-178;-137
-178;-19;491
-442;-86;-205
-160;-411;-109
-377;-192;-171
-453;236;495
-76;-104;-110
500;36;87
377;66;-401
558;412;321
656;378;255
707;379;-33
452;474;-120
527;474;235
675;163;326
406;186;-5
275;322;-161
218;113;64
408;38;161
193;172;-323
181;463;429
230;174;-41
300;-109;-286
162;385;144
1;388;156
409;136;170
480;141;-53
276;229;-327
250;274;446
201;312;431
-28;-162;-718
99;115;333
-6;-30;106
-18;16;-260
159;203;37
371;308;205
497;193;187
395;115;-127
133;24;-174
172;476;555
-8;103;-138
104;-166;-139
-42;260;15
239;216;369
355;182;337
250;42;-540
315;187;20
271;163;716
-16;52;-193
-90;-32;-515
-184;190;313
-155;-53;100
146;-62;104
83;74;145
354;355;7
355;226;152
528;-275;103
138;30;-170
-81;376;202
-77;-6;-124
48;-348;-247
-169;66;-57
75;131;594
299;-182;14
322;138;-301
838;-82;1050
1640;-327;2136
1015;-461;77
-433;189;-2173
180;950;1608
-64;350;499
-194;154;-434
-641;434;-742
-181;163;-86
-391;-141;-406
-1053;-230;-1766
-1370;-1039;-2881
-95;913;3132
610;1569;3111
1511;-241;1519
1678;-927;975
932;-314;-935
22;125;-2092
-293;-208;-2366
-267;-306;-1311
-2548;249;-678
-2960;1790;-1936
-2730;1560;-4923
-3008;994;-5179
2481;-3056;2637
3194;-3274;4373
853;468;-457
689;629;-3601
930;-158;-4348
1442;289;909
903;2962;4302
652;1925;-1752
1977;-365;164
1631;-252;1085
-150;-631;-525
-1565;65;-207
-1345;-100;151
-1344;-573;-663
-1389;-580;-741
-347;-163;957
227;-101;487
342;-188;-605
319;202;-45
398;130;515
374;103;109
199;146;-505
-7;343;122
107;121;483
70;-192;80
-119;-68;-250
-190;127;272
-229;-242;-550
-188;-169;-115
-197;-60;85
52;-74;301
-108;-70;-189
321;153;24
218;151;60
144;181;96
-72;342;109
-176;100;-450
68;-285;-61
667;-471;2229
209;-536;-62
-118;180;-1491
57;613;562
198;36;762
155;-272;-487
-216;439;-757
-245;268;40
-20;-919;-602
-208;299;613
416;296;2282
39;-152;-443
21;-185;-1021
147;-205;647
-70;-340;-487
-72;197;-107
101;-24;-43
-60;-384;-292
-165;275;-21
-203;-63;296
-62;51;384
221;-48;-49
-113;-363;-803
412;153;1273
90;-54;-291
-209;74;-1167
162;333;1217
90;-134;234
341;-442;-738
706;470;-5
655;632;200
1265;646;775
1932;423;211
1503;889;-123
1076;777;436
715;687;420
587;34;-217
320;-28;-348
425;236;261
359;290;-140
676;225;120
998;535;537
722;557;-149
896;469;438
834;303;328
655;191;267
403;306;-196
319;185;66
489;154;462
605;75;-13
570;306;237
576;342;185
539;203;184
328;59;242
10;-104;274
-589;-184;-69
-721;-325;7
-158;-81;59
-85;-44;71
-79;-69;99
-183;-97;66
-270;-131;56
-365;-190;21
-396;-210;35
-399;-185;32
-392;-195;36
-359;-190;29
-321;-163;25
-263;-134;31
-212;-115;49
-152;-79;49
-130;-63;65
-159;-81;52
-199;-101;55
-237;-119;50
-256;-135;42
-263;-136;34
-245;-121;33
-224;-114;45
-181;-90;46
-154;-74;48
-128;-67;50
-123;-66;52
-141;-68;45
-163;-83;38
-181;-90;36
-180;-98;39
-168;-90;42
-146;-78;42
-133;-71;45
-113;-58;48
-102;-62;42
-113;-61;43
-112;-70;51
-121;-70;47
-133;-71;44
-126;-64;53
-114;-62;44
-100;-54;40
-88;-46;48
-90;-46;65
-95;-48;46
-96;-50;49
-95;-49;49
-94;-48;43
-87;-45;41
-86;-50;52
-75;-44;64
-71;-41;46
-78;-43;45
-81;-37;56
-77;-44;31
-81;-49;37
-69;-38;51
-65;-35;57
-54;-33;36
-50;-33;74
-60;-30;65
-61;-35;73
-58;-25;44
-57;-32;41
-49;-33;49
-53;-26;60
-51;-36;45
-60;-35;41
-65;-30;42
-56;-37;54
-49;-26;50
-41;-20;54
-38;-23;55
-41;-24;52
-43;-20;46
-42;-30;58
-42;-32;55
-44;-27;40
-41;-21;35
-39;-11;33
-27;-26;42
-34;-29;47
-36;-23;51
-30;-14;41
-27;-18;50
-32;-18;47
-40;-16;41
-38;-17;44
-27;0;10
-17;12;22
-28;15;42
-30;-15;105
-9;-67;87
-30;-46;58
