;16;-8;0
;9;-6;-6
367178827767445049534850524648484486444444444444445056485050514444447842546513103671788684714444444444444444447842506913103671;;;
;11;-2;-6
;8;-3;-1
;13;-3;-3
;5;-6;2
;8;-10;-8
;7;-9;-4
;6;-9;5
;0;0;0
;4;-1;-10
;13;0;-8
;6;-11;4
;5;-7;-2
;14;-9;-9
53531310;8;-9;-18
;8;-14;-5
;6;-6;-9
;10;-7;-13
;9;-4;-1
;9;-3;4
;7;0;0
;9;-6;-3
;8;-7;-9
;15;-4;-31
;18;-6;-18
;9;-2;-16
;22;1;-2
;20;-7;-13
;112;-28;4
;217;6;-3
;698;-25;32
;1227;93;47
;1123;138;29
367178827767445049534850544648484486444444444444445056485050;
;17;0;6
;23;1;2
;14;0;1
;19;-2;8
;21;0;-6
;21;0;-15
;4;5;-1
;5;0;-1
;40;-16;-3
;25;-7;-19
;15;0;-6
;36;0;-26
;7;-2;0
;17;-3;1
;15;-9;0
;12;-1;-8
;11;-8;-20
;7;0;-13
;10;1;-4
4444445053444955444444504942556713103671767183864449444944484842545313103671787176764444444444504953485055464848448644784253551310;;;
;13;-1;0
;14;-1;-7
;18;-5;-3
;19;-6;-3
;16;-4;-11
;17;-7;0
;11;-9;-12
;7;-4;-5
;20;-5;-3
;12;-3;-1
;13;-8;-13
;16;-3;-14
;14;-4;-12
;13;0;-15
;18;-11;-15
;16;-1;-5
367178827767445049534850;10;-13;-1
;8;-1;-12
;9;-1;-6
;7;-3;-7
;15;-9;-2
;7;-8;-4
;12;-7;-11
;8;-6;0
;4;-6;0
;7;-7;2
;14;-9;4
;16;-6;-4
;0;0;-8
;15;-3;-12
;11;-1;-6
;10;-7;-2
;6;-9;-7
;5;-4;-10
;10;-3;-16
;10;-9;-10
