-7;7;-44
-5;0;-53
2;-5;-51
-1;-5;-41
0;3;-44
-1;4;-49
-1;1;-47
-1;-7;-49
1;-2;-54
4;3;-53
3;7;-46
-5;2;-51
0;-5;-56
1;0;-52
-1;-4;-55
-5;-4;-61
-3;1;-55
4;6;-51
3;0;-62
3;0;-63
2;0;-59
0;0;-52
-1;0;-53
-6;-1;-47
0;-3;-49
5;-10;-44
-3;0;-48
-1;-2;-55
-1;0;-44
2;-1;-51
6;5;-41
-4;0;-53
-2;1;-56
0;1;-45
8;-8;-30
-34;-185;125
-212;-589;-84
-437;-916;-121
-513;-1154;-81
-533;-1173;-83
-543;-923;-88
-215;-536;-196
10;-186;80
-360;-191;-3
-176;-205;-66
-31;-412;89
-222;-834;-244
-325;-653;-66
-629;-688;-265
-306;-338;158
112;-509;-82
-132;-396;-173
-470;-21;333
-295;-249;113
11;-595;-193
-471;-671;-326
-238;-502;-151
-84;-369;193
-1;-306;-65
23;69;502
-71;-127;-119
-173;-82;-68
66;-246;-138
-341;-367;-50
-145;-246;226
-167;-609;-460
-260;-271;157
-21;-435;95
-206;-434;-310
-544;-336;-280
-42;-416;-286
12;-146;-28
-1;487;493
149;554;-312
355;656;-412
370;562;-116
214;820;486
404;615;-103
340;473;-484
189;592;391
-38;657;409
344;224;-285
351;208;-110
278;445;462
-215;160;-414
42;241;-26
274;247;186
208;131;-191
-1;195;-207
283;240;-190
291;491;527
241;362;-1
19;404;-418
244;355;-180
151;14;-132
-34;196;391
-151;5;-440
218;49;-141
103;156;-44
-86;529;413
390;400;-215
508;375;-209
355;248;187
-392;281;-156
-234;265;173
159;-81;2
14;-197;-358
-313;179;-108
47;79;-85
380;411;726
429;280;-133
122;284;-675
24;275;-299
87;-72;228
-35;-221;-210
-210;-80;-328
11;-209;-439
155;216;451
320;210;7
-316;357;-786
127;441;157
143;349;547
10;-54;-487
-169;98;-187
-102;-151;-24
139;-272;-105
-18;-180;-589
-357;238;2
267;273;518
381;302;55
68;363;-444
-176;458;-3
33;72;355
263;-412;-356
-99;-263;-456
-325;-11;235
19;100;300
286;304;96
33;489;-378
299;461;336
207;239;308
-132;108;-356
-322;121;-70
148;-407;113
463;-700;-472
-112;-400;-658
-167;-190;-288
138;219;619
215;394;246
-294;304;-813
-416;380;65
76;-110;465
125;-94;211
-162;-73;-635
396;-231;-284
406;-203;384
77;195;381
65;184;-552
282;93;-115
-43;67;-33
-136;129;218
231;-100;174
1050;86;1371
389;-296;-1029
-941;110;-1126
-1470;206;-1066
-801;-69;82
-152;-470;-500
283;289;700
341;267;745
347;665;1515
466;506;900
551;-815;-3243
-28;-532;-1813
-1154;-5;558
-999;-55;1649
-294;373;1021
375;246;-852
509;202;946
-94;533;1181
-525;378;-475
542;263;-387
1357;-253;-178
-186;-494;-447
-581;-124;335
-433;204;97
-290;-11;-753
-27;-314;-129
303;-400;532
294;-220;519
459;-244;-125
374;-5;198
0;303;-22
-633;142;-1447
-1398;620;-535
-145;-276;-613
1138;-91;1748
1084;218;1530
-9;409;15
-446;232;-545
352;-679;-1086
111;-1351;-2015
-381;-611;109
-910;616;1963
-658;932;360
-55;-153;-2183
858;-2;50
674;564;1556
17;282;177
204;-42;-1486
383;173;215
-20;-116;802
-405;-596;-216
-722;53;-361
-889;549;-148
333;-268;-172
652;-377;651
255;183;188
-373;139;-737
-361;-17;-270
-46;-111;196
284;-145;-46
-143;355;32
-84;412;298
132;461;59
288;-148;-460
-35;77;366
-436;-4;315
-380;-301;-776
-219;-482;-513
595;203;606
295;78;-179
207;187;-695
-171;540;131
9;-79;110
21;-150;312
-415;-277;-351
-441;-292;-442
81;-190;308
-287;401;-72
570;193;-293
208;188;-503
-51;526;957
18;196;65
-159;-5;-238
-358;-152;-96
24;-542;-508
-79;-180;279
-529;502;1079
16;263;-193
1169;-105;-609
1188;47;106
342;843;1675
-663;1213;1853
-2064;-7;-3217
-1613;-633;-3404
787;-2041;-442
1341;-1798;2092
-81;-919;239
-675;877;705
166;480;-71
800;-340;-979
0;596;937
-441;1629;1809
-563;1077;-1599
492;315;-1124
1419;-870;1623
1230;-432;1081
214;-268;-1752
-642;-337;-1432
-747;327;1615
-332;-221;21
190;-297;39
-185;-208;-6
178;-262;-116
454;-252;-188
206;-282;-5
-202;316;42
93;525;70
126;409;-97
-38;434;440
-465;34;-198
55;-292;-175
357;-866;-590
7;-708;-572
-236;-235;393
-248;386;393
