-92;133;-105
40;-14;-64
11;-5;-22
8;0;-7
6;0;12
6;-4;9
0;-6;7
-7;2;-2
0;-4;5
5;0;-1
-3;2;3
2;3;3
8;-1;0
0;0;0
2;-5;4
8;-5;4
3;-4;-7
3;1;9
1;8;0
0;-1;7
4;1;0
1;0;0
1;-1;5
-1;-7;4
-4;-7;-1
-1;-3;1
-5;-4;-2
3;-7;-5
5;-6;4
5;-8;9
-5;0;4
-5;-7;5
-2;0;4
-2;1;8
-90;361;48
1500;-672;3227
-504;-307;2468
-1061;-147;-157
-580;161;-1280
-126;445;-2392
-210;463;-2924
-317;167;-2757
335;64;-604
243;258;575
462;53;1663
93;-752;1203
-262;-535;208
527;82;977
84;234;427
-120;53;118
-97;15;10
-47;15;3
-25;-3;39
-9;-1;17
-1;-1;9
-6;0;-3
0;1;0
-3;0;7
-3;0;5
0;-5;4
3;-2;-4
3;-2;0
0;-4;4
-1;1;3
1;-2;-10
-2;-2;3
1;0;2
0;-2;0
7;6;-5
-1;0;5
-2;1;6
-4;-2;11
0;-2;12
-5;-1;5
1;0;0
0;-8;-4
2;-5;-1
4;2;0
2;3;-1
1;1;-2
1;0;0
1;2;2
0;-2;7
1;3;11
8;1;7
0;0;3
0;-1;11
-7;-2;-1
1;0;4
0;0;-3
0;0;-2
-2;0;6
2;-6;-6
-4;-3;4
105;-106;39
-63;37;-22
-54;26;-2
-114;56;49
