time;gFx;gFy;gFz;TgF
22:39:30:8520;0,0249;0,6475;0,7860;1,021
22:39:30:8550;0,0233;0,6451;0,7969;1,028
22:39:30:8570;0,0227;0,6452;0,8072;1,036
22:39:30:8590;0,0217;0,6433;0,8120;1,038
22:39:30:8610;0,0278;0,6381;0,8183;1,040
22:39:30:8630;0,0320;0,6314;0,8216;1,039
22:39:30:8650;0,0358;0,6326;0,8217;1,039
22:39:30:8670;0,0361;0,6373;0,8123;1,035
22:39:30:8690;0,0400;0,6342;0,8039;1,027
22:39:30:8710;0,0409;0,6353;0,8067;1,029
22:39:30:8730;0,0419;0,6434;0,8105;1,037
22:39:30:8750;0,0439;0,6475;0,8055;1,036
22:39:30:8770;0,0462;0,6500;0,8070;1,039
22:39:30:8780;0,0513;0,6456;0,8045;1,034
22:39:30:8800;0,0520;0,6454;0,7960;1,028
22:39:30:8820;0,0534;0,6460;0,7891;1,023
22:39:30:8830;0,0512;0,6494;0,7829;1,020
22:39:30:8850;0,0505;0,6533;0,7784;1,019
22:39:30:9010;0,0453;0,6596;0,7728;1,019
22:39:30:9040;0,0421;0,6620;0,7697;1,018
22:39:30:9080;0,0395;0,6603;0,7802;1,025
22:39:30:9110;0,0406;0,6564;0,7868;1,027
22:39:30:9130;0,0323;0,6554;0,7869;1,027
22:39:30:9160;0,0337;0,6563;0,7902;1,030
22:39:30:9370;0,0289;0,6513;0,7913;1,027
22:39:30:9420;0,0312;0,6449;0,7974;1,028
22:39:30:9450;0,0388;0,6400;0,8026;1,029
22:39:30:9480;0,0430;0,6359;0,8059;1,029
22:39:30:9510;0,0477;0,6390;0,8106;1,035
22:39:30:9540;0,0464;0,6357;0,8067;1,030
22:39:30:9570;0,0483;0,6309;0,8040;1,025
22:39:30:9600;0,0532;0,6271;0,7999;1,019
22:39:30:9630;0,0580;0,6206;0,7957;1,012
22:39:30:9760;0,0590;0,6173;0,7945;1,009
22:39:30:9790;0,0611;0,6215;0,7908;1,009
22:39:30:9810;0,0601;0,6273;0,7847;1,008
22:39:30:9840;0,0588;0,6339;0,7785;1,007
22:39:30:9870;0,0482;0,6357;0,7885;1,016
22:39:31:0030;0,0518;0,6309;0,8012;1,023
22:39:31:0060;0,0548;0,6168;0,8055;1,017
22:39:31:0090;0,0570;0,6149;0,8048;1,016
22:39:31:0110;0,0573;0,6205;0,8003;1,016
22:39:31:0140;0,0610;0,6180;0,8098;1,022
