18;8;132
-8;-3;11
-5;-13;19
7;-11;53
5;3;17
2;-4;70
0;0;29
3;-4;43
0;-6;51
-3;-5;41
0;1;41
-1;-1;41
-1;0;43
8;-8;35
3;-3;42
2;0;44
0;-1;36
1;0;33
-10;-4;44
-6;-2;56
-11;-6;50
-5;-10;46
-7;-10;36
-1;-3;45
0;2;48
21;1;60
49;70;50
-6;283;221
203;542;178
942;1095;-214
998;1357;-79
877;1434;-140
816;884;-285
492;32;300
179;-255;595
-102;-78;-30
-194;335;-272
-143;342;221
439;32;559
895;475;-344
563;996;-390
593;877;2
442;665;-112
296;246;196
495;-427;657
146;-141;-76
445;556;-90
114;820;905
461;226;527
224;436;-901
99;687;234
471;147;788
231;-194;-456
-212;-616;-36
-363;-598;814
-442;-528;450
-573;-599;-871
-439;-1235;765
-411;-993;799
-668;-405;-217
-454;-258;-695
-59;-46;-6
431;20;294
28;43;-65
-265;255;-174
-188;-397;370
45;-341;-305
-586;206;-240
-7;-535;173
-426;-461;592
-157;-44;-948
130;-392;-35
-247;-404;595
-7086;-6466;4267
-8516;-9207;6675
2664;-5147;-2298
3913;-2029;-4404
2958;3186;-3325
954;3445;-2242
284;3553;-2853
1133;2872;-4157
1304;2714;-4763
4530;5498;-2989
1871;5483;-2928
4536;2224;-1902
2191;1744;-446
2275;1272;-392
4885;1991;-1210
3119;4154;186
-1168;655;-7219
-1330;-1356;-11384
-1875;-2475;-11374
-2422;-2771;-7003
-8398;-9565;3749
1592;-798;-9231
1527;3136;-9156
-765;-450;-8393
-185;229;-9533
-1297;-24;-4767
-2435;-4811;4450
2971;2770;-5038
3732;6148;-4658
-128;197;-581
-449;-722;74
-2393;-1592;2534
2197;2057;-1587
2156;964;2897
416;-903;1288
637;269;-4989
-59;1942;-3947
-1649;-304;2695
-869;-902;1439
-201;-1441;-1171
-941;-1300;-1075
-1375;-881;-1452
-2264;-2278;2015
-297;-2779;1060
513;-1946;-1382
-911;-1095;-258
-1745;-660;1625
-1389;41;-640
-1185;-885;-66
-898;-1790;1351
-169;-1542;-51
-96;-1128;-770
-401;-513;-387
-1082;-195;669
-1147;-314;661
-758;-768;88
-232;-1037;-17
-272;-847;69
-560;-496;33
-509;-433;27
-308;-563;-17
-384;-628;20
-537;-635;33
-547;-592;243
-263;-173;130
270;130;-141
179;232;42
155;378;1
287;370;81
392;418;72
393;578;-30
368;518;12
278;309;18
95;194;53
54;107;45
65;47;51
41;83;48
70;117;52
156;194;44
183;258;55
208;288;23
175;222;27
112;170;34
79;113;31
65;85;38
53;88;46
80;111;46
99;143;49
126;175;29
129;170;39
98;131;47
77;102;36
65;92;32
58;86;42
65;98;45
85;123;27
89;128;30
81;121;36
69;100;38
62;83;46
62;80;33
69;82;44
69;92;41
74;97;41
63;79;42
52;63;39
50;59;39
50;64;41
53;74;38
53;68;40
55;75;51
50;65;47
44;62;54
41;57;52
41;57;50
49;60;48
43;64;40
38;52;40
34;53;46
34;50;40
31;49;41
28;47;36
33;49;42
37;40;46
32;36;38
29;47;62
41;36;40
36;37;30
25;39;37
17;16;29
20;27;36
30;34;38
30;35;32
23;27;29
25;20;27
14;17;34
15;20;35
16;23;42
16;36;42
31;29;40
21;27;48
19;27;35
20;20;41
18;19;43
20;23;34
13;27;25
19;9;39
9;7;44
-3;17;40
31;0;24
21;-11;0
33;3;23
3;25;161
-2;67;74
